title,author,abstract,url,pages,doi,bibkey,project
Vegetation‐related influences on carbon and water dynamics of two temperate forage crops,"Kevin De Haan, Myroslava Khomik, Richard M. Petrone, ","Improving understanding of how water use efficiency (WUE), evapotranspiration (ET), and gross primary productivity (GPP) (CO2 exchange) vary across agricultural systems can help farmers better prepare for an uncertain future due to climate change by assessing water requirements for a crop as a function of current environmental conditions. This study: (a) quantified field-scale plant–water–carbon dynamics for silage maize (Zea mays L.) and alfalfa (Medicago sativa L.) crops – two dominant forage crops in southern Ontario, Canada; and (b) identified differences in plant carbon–water dynamics between these two crops, relating these differences to vegetation-driven ecosystem controls. Climate and soil properties were similar between the two study sites, and water availability was not limiting, suggesting that the overall temporal differences in carbon–water relations were driven by vegetation differences, mainly crop choice and management practices. Alfalfa had greater seasonal GPP, ET, and WUE than maize, due to a longer growing season. Differences in daily WUE between maize and alfalfa were driven by differences in GPP rather than ET. Multiple harvests reduced leaf-aging effects and promoted periods of rapid growth in alfalfa. In contrast, late seedling emergence and self-shading reduced GPP in maize. Under a warmer future climate, crop selection (i.e., perennial vs. annual), harvest regimes, and changes in growing season length should be considered when trying to manage for increased WUE. However, longer duration studies to validate these results are required to better address the impacts of climatic variability—especially antecedent conditions—to better inform future crop choices within a climate change context.",G22-1001,1782-1799,10.1002/agj2.21056,De Haan-2022-Vegetation‐related,Agricultural Water Futures
Screening and scoping-level assessment of beneficial management practices in a Canadian prairie watershed,"Jian Liu, Jennifer Roste, Helen M. Baulch, J. M. Elliott, John-Mark Davies, Etienne Shupena-Soulodre, ","Abstract In the Canadian prairies, eutrophication is a widespread issue, with agriculture representing a major anthropogenic nutrient source in many watersheds. However, efforts to mitigate agricultural nutrient export are challenged by the lack of coordinated monitoring programs and the unique hydrological characteristics of the prairies, notably, the dominance of snowmelt in both water flows and nutrient loads, variable runoff, variable contributing area and the issues of understanding how scale affects nutrient concentrations and prevalence of dissolved nutrient transport (over total nutrients). Efforts are being made to integrate these characteristics in process-based water quality models, but the models are often complex and are not yet ready for use by watershed managers for prioritizing implementation of beneficial management practices (BMPs). In this study, a screening and scoping approach based on nutrient export coefficient modeling was used to prioritize BMPs for the 55,700 km2 Qu’Appelle Watershed, Saskatchewan. By integrating land use information, in-stream monitoring data, stakeholder input and nutrient export coefficient modeling, the study assessed potential efficiencies of six BMPs involving fertilizer, manure, grazing, crop and wetland management in nutrient load reductions for nine tributaries of the watershed. Uncertainty around the effectiveness of the BMPs was assessed. Field-level export coefficients were adjusted with nutrient delivery ratios for estimating watershed-level exports. Of the BMPs examined, in general, wetland restoration had the greatest potential to reduce both nitrogen and phosphorus loads in most tributaries, followed by fertilizer management. The importance of wetland restoration was supported by positive, significant, linear correlations between nutrient delivery ratios and drainage intensity in the tributaries (nitrogen: R 2 = 0.67; phosphorus: R 2 = 0.82). Notably, the relative ranking of BMP efficiencies varied with tributaries, as a result of differing landscape characteristics, land uses and nutrient inputs. In conclusion, the approach developed here acknowledges uncertainty, but provides a means to guide management decisions within the context of an adaptive management approach, where BMP implementation is partnered with monitoring and assessment to revise ongoing plans and ensures selected practices are meeting goals for nutrient abatement.",G22-2001,83-109,10.1080/07011784.2022.2032365,Liu-2022-Screening,Agricultural Water Futures
Incentivizing the future adoption of best management practices on agricultural land to protect water resources: The role of past participation and experiences,"Haiyan Liu, Roy Brouwer, ","Best Management Practices (BMPs) incentive programs have been introduced to protect agricultural land and reduce nutrient runoff in watersheds. However, their voluntary nature has not led to the expected high participation rates. We examine influencing factors and underlying drivers that are associated with BMP adoption and farmer preferences for specific BMPs. Data are collected through an online survey in Ontario, Canada in 2019. A binary logit model is estimated to explain current participation in BMP schemes and a multinomial logit model to predict preferences for future BMP uptake. Results show that a mix of farmer and farm characteristics and environmental attitudes explain both current participation in BMP schemes and the likelihood of adopting a future BMP. Farmers tend to endorse a BMP if they currently implement that BMP. The findings furthermore suggest that increasing farmers' environmental awareness and sharing positive BMP experiences with other farmers may help expand future BMP adoption in Ontario. • We examine underlying drivers of farmer BMP adoption and preferences in Canada. • We inspect both current participation and future choices using logit models. • Farmers fairly concerned about water pollution are more likely to adopt BMPs. • Farmers tend to endorse a BMP if they currently implement that BMP. • Demographic characteristics are not significant predictors of future adoption.",G22-3001,107389,10.1016/j.ecolecon.2022.107389,Liu-2022-Incentivizing,Agricultural Water Futures
Peat surface compression reduces smouldering fire potential as a novel fuel treatment for boreal peatlands,"Patrick Jeffrey Deane, Sophie Wilkinson, Gregory J. Verkaik, Paul A. Moore, Dave Schroeder, J. M. Waddington, ","The wildfire regime in Canada’s boreal region is changing; extended fire seasons are characterized by more frequent large fires (≥200 ha) burning greater areas of land, whilst climate-mediated drying is increasing the vulnerability of peatlands to deep burning. Proactive management strategies, such as fuel modification treatments, are necessary to reduce fire danger at the wildland-human interface (WHI). Novel approaches to fuel management are especially needed in peatlands where deep smouldering combustion is a challenge to suppression efforts and releases harmful emissions. Here, we integrate surface compression within conventional stand treatments to examine the potential for reducing smouldering of near-surface moss and peat. A linear model (adj. R2=0.62, p=2.2e-16) revealed that ground cover (F(2,101)=60.97, p<0.001) and compression (F(1,101)=56.46, p<0.001) had the greatest effects on smouldering potential, while stand treatment did not have a significant effect (F(3,101)=0.44, p=0.727). On average, compressed Sphagnum and feather moss plots showed 57.1% and 58.7% lower smouldering potential, respectively, when compared to uncompressed analogs. While practical evaluation is warranted to better understand the evolving effectiveness of this strategy, these findings demonstrate that a compression treatment can be successfully incorporated within both managed and unmanaged peatlands to reduce fire danger at the WHI.",G22-4001,396-405,10.1139/cjfr-2021-0183,Deane-2022-Peat,Boreal Water Futures: Canada’s Boreal Wildlands-Society-Water Nexus
Be like the running water: Assessing gendered and age-based water insecurity experiences with Six Nations First Nation,"Sarah Duignan, Tina Moffat, Dawn Martin-Hill, ","Indigenous households are 90 times more likely to be without running water than non-Indigenous households in Canada. Current primary indicators of water quality and security for Indigenous Peoples are based on federal boil water advisories, which do not disaggregate at household levels to identify who is most at risk within or between communities. A mixed methods approach was used to assess the level of water insecurity and perceptions of water access by gender and age for a sample of households in Six Nations of the Grand River First Nations in Ontario, Canada. A household survey captured water security using the Household Water InSecurity Experiences (HWISE) scale and Likert-type responses to perceptions of water access, contextualized using semi-structured individual and group interviews. From 2019 to 2020, 66 households participated in the survey, 18 individuals participated in semi-structured individual interviews, and 7 individuals participated in 3 semi-structured group interviews. The survey sample demonstrated high levels of household water insecurity (57.5%, n = 38). Interviews revealed that women were more dissatisfied with their drinking water situations due to quality, source, and cost, though they shared water sharing as a coping strategy. Women faced more physical and mental barriers accessing water for their households, due to their roles as caretakers of their family and knowledge protectors for their communities. Generational divides were found in interviews about what qualified as ""good water,"" with older participants understanding it as relating to traditional water sourcing, and younger participants wanting clean, accessible tap water. Taken together, the participants demonstrated a frustration with the sub-standard drinking water on reserve.",G22-5001,114864,10.1016/j.socscimed.2022.114864,Duignan-2022-Be,Co-Creation of Indigenous Water Quality Tools
Mental Health Mobile Applications Developed for Indigenous Communities in Canada: A Scoping Review,"Noella Noronha, Ashley Avarino, Sarmini Balakumar, Katherine Toy, Savanah Smith, Christine Wekerle, Dawn Martin-Hill, Makasa Lookinghorse, Alexander Drossos, Anne Niec, Beverley Jacobs, Kristen Thomasen, Cynthia Lokker, ","In Canada, Indigenous populations have an increased prevalence of psychiatric disorders and distress. Mental health mobile applications can provide effective, easy-to-access, and low-cost support. Examining grey literature and academic sources, this review found three mobile apps that support mental health for Indigenous communities in Canada. Implications and future directions are discussed.",G22-6001,102-106,10.7870/cjcmh-2022-004,Noronha-2022-Mental,"Ohneganos – Indigenous ecological knowledge, training and co-creation of mixed method tools"
Facilitating Asynchronous Collaboration in Scientific Workflow Composition Using Provenance,"Mostafa AbediniAla, Banani Roy, ","Advances in scientific domains are led to an increase in the complexity of the experiments. To address this growing complexity, scientists from different domains require to work collaboratively. Scientific Workflow Management Systems (SWfMSs) are popular tools for data-intensive experiments. To the best of our knowledge, very few of the existing SWfMSs support collaboration, and it is not efficient in many cases. Researchers share a single version of the workflow in existing collaborative data analysis systems, which increases the chance of interference as the number of collaborators grows. Moreover, for effective collaboration, contributors require a clear view of the project's status, the information that existing SWfMSs do not provide. Another significant problem is most scientists are not capable of adding collaborative tools to existing SWfMSs, and they need software engineers to take on this responsibility. Even for software engineers such tasks could be challenging and time consuming. In this paper, we attempted to address this crucial issue in scientific workflow composition and doing so in a collaborative setting. Hence, we propose a tool to facilitate collaborative workflow composition. This tool provides branching and versioning, which are standard version control system features to allow multiple researchers to contribute to the project asynchronously. We also suggest some visualizations and a variety of reports to increase group awareness and help the scientists to realize the project's status and issues. As a proof of concept, we developed an API to capture the provenance data and provide collaborative tools. This API is developed as an example for software engineers to help them understand how to integrate collaborative tools into any SWfMS. We collect provenance information during workflow composition and then employ it to track workflow versions using the proposed collaborative tool. Prior to implementing the visualizations, we surveyed to discover how much the proposed visualizations could contribute to group awareness. Moreover, in the survey we investigated to what extent the proposed version control system could help address shortcomings in collaborative experiments. The survey participants provided us with valuable feedback. In future, we will use the survey responses to enhance the proposed version control system and visualizations.",G22-7001,1-26,10.1145/3534520,AbediniAla-2022-Facilitating,Core Computer Science Team
Supporting program comprehension by generating abstract code summary tree,"Avijit Bhattacharjee, Banani Roy, Kevin A. Schneider, ","Reading through code, finding relevant methods, classes and files takes a significant portion of software development time. Having good tool support for this code browsing activity can reduce human effort and increase overall developer productivity. To help with program comprehension activities, building an abstract code summary of a software system from its call graph is an active research area. A call graph is a visual representation of the caller-callee relationships between different methods of a software system. Call graphs can be difficult to comprehend for a large code-base. Previous work by Gharibi et al. on abstract code summarizing suggested using the Agglomerative Hierarchical Clustering (AHC) tree for understanding the codebase. Each node in the tree is associated with the top five method names. When we replicated the previous approach, we observed that the number of nodes in the AHC tree is burdensome for developers to explore. We also noticed only five method names for each node is not sufficient to comprehend an abstract node. We propose a technique to transform the AHC tree using cluster flattening for natural grouping and reduced nodes. We also generate a natural text summary for each abstract node derived from method comments. In order to evaluate our proposed approach, we collected developers’ opinions about the abstract code summary tree based on their codebase. The evaluation results confirm that our approach can not only help developers get an overview of their codebases but also could assist them in doing specific software maintenance tasks.",G22-8001,,10.1145/3510455.3512793,Bhattacharjee-2022-Supporting,Core Computer Science Team
Supporting Readability by Comprehending the Hierarchical Abstraction of a Software Project,"Avijit Bhattacharjee, Banani Roy, Kevin A. Schneider, ","Exploring the source code of a software system is a prevailing task that is frequently done by contributors to a system. Practitioners often use call graphs to aid in understanding the source code of an inadequately documented software system. Call graphs, when visualized, show caller and callee relationships between functions. A static call graph provides an overall structure of a software system and dynamic call graphs generated from dynamic execution logs can be used to trace program behaviour for a particular scenario. Unfortunately a call graph of an entire system can be very complicated and hard to understand. Hierarchically abstracting a call graph can be used to summarize an entire system’s structure and more easily comprehending function calls. In this work, we mine concepts from source code entities (functions) to generate a concept cluster tree with improved naming of cluster nodes to complement existing studies and facilitate more effective program comprehension for developers. We apply three different information retrieval techniques (TFIDF, LDA, and LSI) on function names and function name variants to label the nodes of a concept cluster tree generated by clustering execution paths. From our experiment in comparing automatic labelling with manual labeling by participants for 12 use cases, we found that among the techniques on average, TFIDF performs better with 64% matching. LDA and LSI had 37% and 23% matching respectively. In addition, using the words in function name variants performed at least 5% better in participant ratings for all three techniques on average for the use cases.",G22-9001,,10.1145/3511430.3511441,Bhattacharjee-Roy-2022-Supporting-Readability,Core Computer Science Team
Feature Transformation for Improved Software Bug Detection Models,"Shamse Tasnim Cynthia, Banani Roy, Debajyoti Mondal, ","Testing software is considered to be one of the most crucial phases in software development life cycle. Software bug fixing requires a significant amount of time and effort. A rich body of recent research explored ways to predict bugs in software artifacts using machine learning based techniques. For a reliable and trustworthy prediction, it is crucial to also consider the explainability aspects of such machine learning models. In this paper, we show how the feature transformation techniques can significantly improve the prediction accuracy and build confidence in building bug prediction models. We propose a novel approach for improved bug prediction that first extracts the features, then finds a weighted transformation of these features using a genetic algorithm that best separates bugs from non-bugs when plotted in a low-dimensional space, and finally, trains the machine learning model using the transformed dataset. In our experiment with real-life bug datasets, the random forest and k-nearest neighbor classifier models that leveraged feature transformation showed 4.25% improvement in recall values on an average of over 8 software systems when compared to the models built on original data.",G22-9002,,10.1145/3511430.3511444,Cynthia-2022-Feature,Core Computer Science Team
Reproducibility Challenges and Their Impacts on Technical Q&A Websites: The Practitioners’ Perspectives,"Saıkat Mondal, Banani Roy, ","Software developers often submit questions to technical Q&A sites like Stack Overflow (SO) to resolve their code-level problems. Usually, they include example code segments with their questions to explain the programming issues. When users of SO attempt to answer the questions, they prefer to reproduce the issues reported in questions using the given code segments. However, such code segments could not always reproduce the issues due to several unmet challenges (e.g., too short code segment) that might prevent questions from receiving appropriate and prompt solutions. A previous study produced a catalog of potential challenges that hinder the reproducibility of issues reported at SO questions. However, it is unknown how the practitioners (i.e., developers) perceive the challenge catalog. Understanding the developers’ perspective is inevitable to introduce interactive tool support that promotes reproducibility. We thus attempt to understand developers’ perspectives by surveying 53 users of SO. In particular, we attempt to – (1) see developers’ viewpoints on the agreement to those challenges, (2) find the potential impact of those challenges, (3) see how developers address them, and (4) determine and prioritize tool support needs. Survey results show that about 90% of participants agree to the already exposed challenges. However, they report some additional challenges (e.g., error log missing) that might prevent reproducibility. According to the participants, too short code segment and absence of required Class/Interface/Method from code segments severely prevent reproducibility, followed by missing important part of code. To promote reproducibility, participants strongly recommend introducing tool support that interacts with question submitters with suggestions for improving the code segments if the given code segments fail to reproduce the issues.",G22-9003,,10.1145/3511430.3511439,Mondal-2022-Reproducibility,Core Modelling & Forecasting Team
Commit-Checker: A human-centric approach for adopting bug inducing commit detection using machine learning models,"Naz Zarreen Zarreen Oishie, Banani Roy, ","Software bug prediction is one of the promising research areas in software engineering. Software developers must allocate a reasonable amount of time and resources to test and debug the developed software extensively to improve software quality. However, it is not always possible to test software thoroughly with limited time and resources to develop high quality software. Sometimes software companies release software products in a hurry to make profit in a competitive environment. As a result the released software might have software defects and can affect the reputation of those software companies. Ideally, any software application that is already in the market should not contain bugs. If it does, depending on its severity, it might cause a great cost. Although a significant amount of work has been done to automate different parts of testing to detect bugs, fixing a bug after it is discovered is still a costly task that developers need to do. Sometimes these bug fixing changes introduce new bugs in the system. Researchers estimated that 80% of the total cost of a software system is spent on fixing bugs [8]. They show that the software faults and failures costs the US economy $59.5 billion a year [9].",G22-9004,,10.1145/3511430.3511463,Oishie-2022-Commit-Checker:,Core Computer Science Team
StreamTable: An Area Proportional Visualization for Tables with Flowing Streams,"Jared Espenant, Debajyoti Mondal, ","AbstractLet M be a two-dimensional table with each cell weighted by a nonzero positive number. A StreamTable visualization of M represents the columns as non-overlapping vertical streams and the rows as horizontal stripes such that the intersection between a stream and a stripe is a rectangle with area equal to the weight of the corresponding cell. To avoid large wiggle of the streams, it is desirable to keep the consecutive cells in a stream to be adjacent. Let B be the smallest axis-aligned bounding box containing the StreamTable. Then the difference between the area of B and the sum of the weights is referred to as the excess area. We attempt to optimize various StreamTable aesthetics (e.g., minimizing excess area, or maximizing cell adjacencies in streams). If the row permutation is fixed and the row heights are given, then we give an O(rc)-time algorithm to optimizes these aesthetics, where r and c are the number of rows and columns, respectively. If the row permutation is fixed but the row heights can be chosen, then we discuss a technique to compute an aesthetic (but not necessarily optimal) StreamTable by solving a quadratically-constrained quadratic program, followed by iterative improvements. If the row heights are restricted to be integers, then we prove the problem to be NP-hard. If the row permutations can be chosen, then we show that it is NP-hard to find a row permutation that optimizes the area or adjacency aesthetics. KeywordsGeometric AlgorithmsTable CartogramStreamgraphs",G22-10001,97-108,10.1007/978-3-030-96731-4_9,Espenant-2022-StreamTable:,Core Computer Science Team
