title,author,abstract,url,pages,doi,bibkey,project
Challenges in Hydrologic‐Land Surface Modeling of Permafrost Signatures—A Canadian Perspective,"Mohamed S. Abdelhamed, Mohamed Elshamy, Saman Razavi, H. S. Wheater, ","Permafrost thaw/degradation in the Northern Hemisphere due to global warming is projected to accelerate in coming decades. Assessment of this trend requires improved understanding of the evolution and dynamics of permafrost areas. Land surface models (LSMs) are well-suited for this due to their physical basis and large-scale applicability. However, LSM application is challenging because (a) LSMs demand extensive and accurate meteorological forcing data, which are not readily available for historic conditions and only available with significant biases for future climate, (b) LSMs possess a large number of model parameters, and (c) observations of thermal/hydraulic regimes to constrain those parameters are severely limited. This study addresses these challenges by applying the MESH-CLASS modeling framework (Modélisation Environmenntale communautaire—Surface et Hydrology embedding the Canadian Land Surface Scheme) to three regions within the Mackenzie River Basin, Canada, under various meteorological forcing data sets, using the variogram analysis of response surfaces framework for sensitivity analysis and threshold-based identifiability analysis. The study shows that the modeler may face complex trade-offs when choosing a forcing data set; for current and future scenarios, forcing data require multi-variate bias correction, and some data sets enable the representation of some aspects of permafrost dynamics, but are inadequate for others. The results identify the most influential model parameters and show that permafrost simulation is most sensitive to parameters controlling surface insulation and runoff generation. But the identifiability analysis reveals that many of the most influential parameters are unidentifiable. These conclusions can inform future efforts for data collection and model parameterization.",G23-1001,,10.1029/2022ms003013,Abdelhamed-2023-Challenges,Core Modelling & Forecasting Team
Challenges in Hydrologic‐Land Surface Modeling of Permafrost Signatures—A Canadian Perspective,"Mohamed S. Abdelhamed, Mohamed E. Elshamy, Saman Razavi, Howard S. Wheater, ","Abstract Permafrost thaw/degradation in the Northern Hemisphere due to global warming is projected to accelerate in coming decades. Assessment of this trend requires improved understanding of the evolution and dynamics of permafrost areas. Land surface models (LSMs) are well‐suited for this due to their physical basis and large‐scale applicability. However, LSM application is challenging because (a) LSMs demand extensive and accurate meteorological forcing data, which are not readily available for historic conditions and only available with significant biases for future climate, (b) LSMs possess a large number of model parameters, and (c) observations of thermal/hydraulic regimes to constrain those parameters are severely limited. This study addresses these challenges by applying the MESH‐CLASS modeling framework (Modélisation Environmenntale communautaire—Surface et Hydrology embedding the Canadian Land Surface Scheme) to three regions within the Mackenzie River Basin, Canada, under various meteorological forcing data sets, using the variogram analysis of response surfaces framework for sensitivity analysis and threshold‐based identifiability analysis. The study shows that the modeler may face complex trade‐offs when choosing a forcing data set; for current and future scenarios, forcing data require multi‐variate bias correction, and some data sets enable the representation of some aspects of permafrost dynamics, but are inadequate for others. The results identify the most influential model parameters and show that permafrost simulation is most sensitive to parameters controlling surface insulation and runoff generation. But the identifiability analysis reveals that many of the most influential parameters are unidentifiable. These conclusions can inform future efforts for data collection and model parameterization.",G23-3001,,10.1029/2022ms003013,Abdelhamed-Elshamy-2023-Challenges-in,
On the optimal level of complexity for the representation of wetland systems in land surface models,"Mennatullah Elrashidy, A. M. Ireson, Saman Razavi, ","Abstract. Wetland systems are among the largest stores of carbon on the planet, most biologically diverse of all ecosystems, and dominant controls of the hydrologic cycle. However, their representation in land surface models (LSMs), which are the terrestrial lower boundary of Earth system models (ESMs) that inform climate actions, is limited. Here, we explore different possible parametrizations to represent wetland-groundwater-upland interactions with varying levels of system and computational complexity. We perform a series of numerical experiments that are informed by field observations from wetlands in the well-instrumented White Gull Creek in Saskatchewan, in the boreal region of North America. We show that the typical representation of wetlands in LSMs, which ignores interactions with groundwater and uplands, can be inadequate. We show that the optimal level of model complexity depends on the land cover, soil type, and the ultimate modelling purpose, being nowcasting and prediction, scenario analysis, or diagnostic learning.",G23-2003,,10.5194/hess-2023-68,Elrashidy-2023-On,Integrated Modelling Program for Canada (IMPC)
"Modeling the sensitivity of snowmelt, soil moisture and streamflow generation to climate over the Canadian Prairies using a basin classification approach","Zhaofeng He, Kevin Shook, Christopher Spence, John W. Pomeroy, Colin J. Whitfield, ","Abstract. This study evaluated the effects of climate perturbations on snowmelt, soil moisture and streamflow generation in small Canadian Prairie basins using a modeling approach based on classification of basin biophysical and hydraulic parameters. Seven basin classes that encompass the entirety of the Prairie ecozone in Canada were determined by cluster analysis of biophysical characteristics. Individual semi-distributed virtual basin (VB) models representing these classes were parameterized in the Cold Regions Hydrological Model (CRHM) platform which includes modules for snowmelt and sublimation, soil freezing and thawing, actual evapotranspiration (ET), soil moisture dynamics, groundwater recharge and depressional storage dynamics including fill and spill runoff generation and variable connected areas. Precipitation (P) and temperature (T) perturbation scenarios covering the range of climate model predictions for the 21st century were used to evaluate climate sensitivity of hydrological processes in individual land cover and basin types across the Prairie ecozone. Results indicated that snow accumulation in wetlands had a greater sensitivity to P and T than that in croplands and grasslands in all the basin types. Wetland soil moisture was also more sensitive to T than the cropland and grassland soil moisture. Jointly influenced by land cover distribution and local climate, basin-average snow accumulation was more sensitive to T in the drier and grassland-characterized basins than in the wetter basins dominated by cropland, whilst basin-average soil moisture was most sensitive to T and P perturbations in basins typified by pothole depressions and broad river valleys. Annual streamflow had the greatest sensitivities to T and P in the dry and poorly connected Interior Grassland basins but the smallest in the wet and well-connected Southern Manitoba basins. The ability of P to compensate for warming induced reductions in snow accumulation and streamflow was much higher in the wetter and cropland-dominated basins than in the drier and grassland-characterized basins, whilst decreases in cropland soil moisture induced by the maximum expected warming of 6 °C could be fully offset by P increase of 11 % in all the basins. These results can be used to 1) identify locations which had the largest hydrological sensitivities to changing climate; and 2) diagnose underlying processes responsible for hydrological responses to expected climate change. Variations of hydrological sensitivity in land cover and basin types suggest that different water management and adaptation methods are needed to address enhanced water stress due to expected climate change in different regions of the Prairie ecozone.",G23-2004,,10.5194/hess-2023-71,He-2023-Modeling,Prairie Water: Enhancing resilience of Prairie communities through sustainable water management
Changes of Extreme Precipitation in CMIP6 Projections: Should We Use Stationary or Nonstationary Models?,"Hebatallah Mohamed Abdelmoaty, Simon Michael Papalexiou, ","Abstract With global warming, the behavior of extreme precipitation shifts toward nonstationarity. Here, we analyze the annual maxima of daily precipitation (AMP) all over the globe using projections of the latest phase of the Coupled Model Intercomparison Project (CMIP6) under four shared socioeconomic pathways (SSPs). The projections were bias corrected using a semiparametric quantile mapping, a novel technique extended to extreme precipitation. This analysis 1) explores the variability of future AMP globally and 2) investigates the performance of stationary and nonstationary models in describing future AMP with trends. The results show that global warming potentially intensifies AMP. For the nonparametric analysis, the 33-yr precipitation levels are increasing up to 33.2 mm compared to the historical period. The parametric analysis shows that the return period of 100-yr historical events will decrease approximately to 50 and 70 years in the Northern and Southern Hemispheres, respectively. Under the highest emission scenario, the projected 100-yr levels are expected to increase by 7.5%–21% over the historical levels. Using stationary models to estimate the 100-yr return level for AMP projections with trends leads to an underestimation of 3.4% on average. Extensive Monte Carlo experiments are implemented to explain this underestimation.",G23-3001,2999-3014,10.1175/jcli-d-22-0467.1,Abdelmoaty-2023-Changes,Paradigm Shift in Downscaling Climate Model Projections: Building Models and Tools to Advance Climate Change Research in Cold Regions
Changes of Extreme Precipitation in CMIP6 Projections: Should We Use Stationary or Nonstationary Models?,"Hebatallah Mohamed Abdelmoaty, Simon Michael Papalexiou, ","Abstract With global warming, the behavior of extreme precipitation shifts toward nonstationarity. Here, we analyze the annual maxima of daily precipitation (AMP) all over the globe using projections of the latest phase of the Coupled Model Intercomparison Project (CMIP6) under four shared socioeconomic pathways (SSPs). The projections were bias corrected using a semiparametric quantile mapping, a novel technique extended to extreme precipitation. This analysis 1) explores the variability of future AMP globally and 2) investigates the performance of stationary and nonstationary models in describing future AMP with trends. The results show that global warming potentially intensifies AMP. For the nonparametric analysis, the 33-yr precipitation levels are increasing up to 33.2 mm compared to the historical period. The parametric analysis shows that the return period of 100-yr historical events will decrease approximately to 50 and 70 years in the Northern and Southern Hemispheres, respectively. Under the highest emission scenario, the projected 100-yr levels are expected to increase by 7.5%–21% over the historical levels. Using stationary models to estimate the 100-yr return level for AMP projections with trends leads to an underestimation of 3.4% on average. Extensive Monte Carlo experiments are implemented to explain this underestimation.",G23-9001,2999-3014,10.1175/jcli-d-22-0467.1,Abdelmoaty-Papalexiou-2023-Changes-of,
Projected changes in the hotspots for agriculturally relevant compound events in Western Canada cropping regions under the RCP8.5 scenario,"Richard Yao Kuma Agyeman, Fei Huo, Zhenhua Li, Yanping Li, ","The Canadian Prairies are a major grain production region, producing most of the wheat for export in Canada. Global warming and the associated changes in extreme precipitation and temperature events pose significant risks to agriculture on the Canadian Prairies. Compound hazards can cause higher crop failure than isolated events, especially in the main grain production regions in western Canada. To achieve informed climate risk management, it is critical to characterize the threats posed by compound hazards in current and future climates in western Canada. In this study, return periods of events were computed to assess the potential changes in the hotspots for agriculturally relevant compound events in western Canada using two convection-permitting climate simulations: current (CTL) climate and future climate under the RCP8.5 scenario based on a pseudo-global-warming (PGW) approach. Specifically, our study analyzed agricultural drought, low precipitation, heatwaves, and cool waves related to cool-season crops. The results showed the overall good performance of the CTL simulation in capturing spatial patterns of these compound events in western Canada. In the current climate, droughts and heatwaves co-occur mostly in southeastern parts of the prairies. Under the RCP8.5 scenario, they are likely to increase in frequency and expand to cover the major croplands of western Canada. This study provides information that policymakers in the fields of climate change adaptation and agricultural disaster management will find useful.",G23-4001,830-842,10.1002/qj.4434,Agyeman-2023-Projected,Climate-Related Precipitation Extremes
Interactions of land-use cover and climate change at global level: How to mitigate the environmental risks and warming effects,"Amir Hossein Barati, Milad Zhoolideh, Hossein Azadi, Ju‐Hyoung Lee, Jürgen Scheffran, ","Humanity deals with several challenges in this century such as climate change, land use, and land use/cover change (LUCC). Determining the patterns, developments, and consequences of LUCC issues for the livelihoods of people, especially poor people, is very important. Therefore, this paper aims to investigate the interactions between LUCC and climate change over the period of 1966–2015 (50 years) as a complex system at the global level. CO2 emissions and surface temperature are considered as the main indicators of climate change (CC). The data were analyzed in time-oriented (time-based) and local or place-oriented (country-based) manners. The results showed that arable and rangeland use changes (LUC) affect CO2 emissions in both direct and indirect ways. However, the direct effect of rangeland use change is positive, and its indirect effect is negative. In addition, deforestation has increased CO2 emissions indirectly. LUCC can also change the ability of the ecosystem to deliver services to people, including biodiversity and other resources such as food, fiber, water, etc. Therefore, it is critical to determine the patterns, trends, and impacts of LUCC on CC. Thus, CC mitigation policies should be followed by considering both direct and indirect effects. Without a doubt, this will be realized when the decision and policymakers have a better understanding of the structure and interaction between CC, LUCC, and their components as a whole system.",G23-5001,109829,10.1016/j.ecolind.2022.109829,Barati-2023-Interactions,Northern Water Futures
Towards a coherent flood forecasting framework for Canada: Local to global implications,"Louise Arnal, Alain Pietroniro, John W. Pomeroy, Vincent Fortin, David R. Casson, Tricia A. Stadnyk, Prabin Rokaya, Dorothy Durnford, Evan Friesenhan, Martyn P. Clark, ","Abstract Operational flood forecasting in Canada is a provincial responsibility that is carried out by several entities across the country. However, the increasing costs and impacts of floods require better and nationally coordinated flood prediction systems. A more coherent flood forecasting framework for Canada can enable implementing advanced prediction capabilities across the different entities with responsibility for flood forecasting. Recently, the Canadian meteorological and hydrological services were tasked to develop a national flow guidance system. Alongside this initiative, the Global Water Futures program has been advancing cold regions process understanding, hydrological modeling, and forecasting. A community of practice was established for industry, academia, and decision‐makers to share viewpoints on hydrological challenges. Taken together, these initiatives are paving the way towards a national flood forecasting framework. In this article, forecasting challenges are identified (with a focus on cold regions), and recommendations are made to promote the creation of this framework. These include the need for cooperation, well‐defined governance, and better knowledge mobilization. Opportunities and challenges posed by the increasing data availability globally are also highlighted. Advances in each of these areas are positioning Canada as a major contributor to the international operational flood forecasting landscape. This article highlights a route towards the deployment of capacities across large geographical domains.",G23-6001,,10.1111/jfr3.12895,Arnal-2023-Towards,Integrated Modelling Program for Canada (IMPC)
Connecting hydrological modelling and forecasting from global to local scales: Perspectives from an international joint virtual workshop,"Antara Dasgupta, Louise Arnal, Rebecca Emerton, Shaun Harrigan, Gwyneth Matthews, Ameer Muhammad, Karen O'Regan, Teresa Pérez‐Ciria, Emixi Valdez, Bart van Osnabrugge, Micha Werner, Carlo Buontempo, Hannah Cloke, Florian Pappenberger, Ilias Pechlivanidis, Christel Prudhomme, Maria‐Helena Ramos, Peter Salamon, ","Abstract The unprecedented progress in ensemble hydro‐meteorological modelling and forecasting on a range of temporal and spatial scales, raises a variety of new challenges which formed the theme of the Joint Virtual Workshop, ‘Connecting global to local hydrological modelling and forecasting: challenges and scientific advances’. Held from 29 June to 1 July 2021, this workshop was co‐organised by the European Centre for Medium‐Range Weather Forecasts (ECMWF), the Copernicus Emergency Management (CEMS) and Climate Change (C3S) Services, the Hydrological Ensemble Prediction EXperiment (HEPEX), and the Global Flood Partnership (GFP). This article aims to summarise the state‐of‐the‐art presented at the workshop and provide an early career perspective. Recent advances in hydrological modelling and forecasting, reflections on the use of forecasts for decision‐making across scales, and means to minimise new barriers to communication in the virtual format are also discussed. Thematic foci of the workshop included hydrological model development and skill assessment, uncertainty communication, forecasts for early action, co‐production of services and incorporation of local knowledge, Earth observation, and data assimilation. Connecting hydrological services to societal needs and local decision‐making through effective communication, capacity‐building and co‐production was identified as critical. Multidisciplinary collaborations emerged as crucial to effectively bring newly developed tools to practice.",G23-37001,,10.1111/jfr3.12880,Dasgupta-2023-Connecting,Others
