doi,Name,Name_Variants,Institution,code
10.1007/s00382-016-3232-2,M. B. Masud,"['Badrul Masud', 'Mohammad Badrul Masud', 'M. Badrul Masud', 'Mohammad Masud', 'M. Masud', 'M.B. Masud', 'M. B. Masud']",University of Alberta,0017
10.1007/s00382-016-3232-2,M. N. Khaliq,"['M. Khaliq', 'M. N. Khaliq', 'Mahmooda Khaliq', 'M.N. Khaliq', 'M. Naveed Khaliq']",National Research Council Canada,0424
10.1007/s00382-016-3232-2,H. S. Wheater,"['H. S. Wheater', 'Howard S Wheater', 'H.S Wheater', 'Howard Simon Wheater', 'Howard S. Wheater', 'H.S. Wheater', 'H. Wheater', 'H Wheater', 'H S Wheater', 'Howard Wheater']",University of Saskatchewan,0001
10.1007/s00382-016-3404-0,M. B. Masud,"['Badrul Masud', 'Mohammad Badrul Masud', 'M. Badrul Masud', 'Mohammad Masud', 'M. Masud', 'M.B. Masud', 'M. B. Masud']",University of Alberta,0017
10.1007/s00382-016-3404-0,M. N. Khaliq,"['M. Khaliq', 'M. N. Khaliq', 'Mahmooda Khaliq', 'M.N. Khaliq', 'M. Naveed Khaliq']",National Research Council Canada,0424
10.1007/s00382-016-3404-0,H. S. Wheater,"['H. S. Wheater', 'Howard S Wheater', 'H.S Wheater', 'Howard Simon Wheater', 'Howard S. Wheater', 'H.S. Wheater', 'H. Wheater', 'H Wheater', 'H S Wheater', 'Howard Wheater']",University of Saskatchewan,0001
10.2166/nh.2016.038,Ilias Pechlivanidis,"['I.G. Pechlivanidis', 'Ilias G Pechlivanidis', 'Ilias G. Pechlivanidis', 'Ilias Pechlivanidis', 'I. G. Pechlivanidis', 'I. Pechlivanidis', 'Pechlivanidis Ilias']",Swedish Meteorological and Hydrological Institute,0393
10.2166/nh.2016.038,Neil McIntyre,"['N.R. Mcintyre', 'N.R. McIntyre', 'N. McIntyre', 'Neil McIntyre', 'Neil McINTYRE', 'Neil Robert McIntyre', 'N. R. Mcintyre', 'Neil Mcintyre', 'N McIntyre', 'Neil R. McIntyre', 'N. Mcintyre', 'N. R. McIntyre']",University of Queensland,0150
10.2166/nh.2016.038,H. S. Wheater,"['H. S. Wheater', 'Howard S Wheater', 'H.S Wheater', 'Howard Simon Wheater', 'Howard S. Wheater', 'H.S. Wheater', 'H. Wheater', 'H Wheater', 'H S Wheater', 'Howard Wheater']",University of Saskatchewan,0001
10.1007/s10021-016-0055-2,M. R. Turetsky,"['Merritt Turetsky', 'M.R. Turetsky', 'M R Turetsky', 'M. R. Turetsky', 'M. Turetsky', 'Merritt R. TuretskyM.R. Turetsky', 'Merritt R Turetsky', 'M.R Turetsky', 'Merritt R. Turetsky']",University of Colorado System,0082
10.1007/s10021-016-0055-2,Jennifer L. Baltzer,"['J. L. Baltzer', 'J.L. Baltzer', 'J L Baltzer', 'Jennifer Lynn Baltzer', 'Jennifer Baltzer', 'J. Baltzer', 'Jennifer L. Baltzer', 'Jennifer L Baltzer']",Wilfrid Laurier University,0006
10.1007/s10021-016-0055-2,Jill F. Johnstone,"['Jermaine Johnstone', 'J. Johnstone', 'Jill F Johnstone', 'J.F. Johnstone', 'Jill Johnstone', 'Jill JohnstoneJ. Johnstone', 'Jill F. Johnstone', 'J. F. Johnstone', 'Jill F. JohnstoneJ.F. Johnstone', 'Jill F. Johnstone']",Yukon University,0135
10.1007/s10021-016-0055-2,Michelle C. Mack,"['M C Mack', 'M Mack', 'M. Mack', 'M.C. Mack', 'Michelle C Mack', 'Michelle C. Mack', 'Michelle Mack', 'M. C. Mack', 'Michelle C. MackM.C. Mack']",Northern Arizona University,0013
10.1007/s10021-016-0055-2,Kevin S. McCann,"['K. McCann', 'Kevin Mccann', 'KEVIN MCCANN', 'Kevin Shear McCann', 'K. S. McCann', 'K. Mccann', 'kevin s mccann', 'Kevin S McCann', 'Kevin S Mccann', 'Kevin S. McCann', 'Kevin McCann', 'Kevin S. Mccann', 'K McCann']",University of Guelph,0008
10.1007/s10021-016-0055-2,Edward A. G. Schuur,"['Edward A. Schuur', 'Edward. A.G. Schuur', 'E A G Schuur', 'E. A.G. Schuur', 'Edward Schuur', 'E. A. G Schuur', 'Ted A.G. Schuur', 'Edward A. G. Schuur', 'Edward. A. G. Schuur', 'E. Schuur', 'Edward A. G. SchuurE.A.G. Schuur', 'Edward A G Schuur', 'Edward A.G. Schuur', 'Edward A.G Schuur', 'E.A.G. Schuur', 'Edward Ag Schuur', 'E. A. G. Schuur', 'E. A. Schuur']",Northern Arizona University,0013
10.1002/hyp.10905,John W. Pomeroy,"['John Pomeroy', 'J.W. Pomeroy', 'J. W. Pomeroy', 'John W Pomeroy', 'J. W Pomeroy', 'John Willard Pomeroy', 'J. Pomeroy', 'J W Pomeroy', 'JW Pomeroy', 'John W. Pomeroy']",University of Saskatchewan,0001
10.1002/hyp.10905,Xing Fang,"['X. Fang', 'Fang Xing', 'Xing Fang']",University of Saskatchewan,0001
10.1002/hyp.10905,Danny Marks,"['Danny. Marks', 'Danny G Marks', 'D Marks', 'D. Marks', 'Danny Marks', 'Danny G. Marks', 'D. G. Marks']",Northwest Watershed Research Center,0406
10.1002/hyp.10906,A. Q. Liu,"['Anling Liu', 'A. Q. Liu']",Environment and Climate Change Canada,0005
10.1002/hyp.10906,Curtis Mooney,"['Curtis J. Mooney', 'Curtis Mooney', 'C. Mooney', 'C. J. Mooney']",Environment and Climate Change Canada,0005
10.1002/hyp.10906,Kit K. Szeto,"['K. Szeto', 'K. K. Szeto', 'K. K. SZETO', 'K.K. Szeto', 'Kit Szeto', 'Kit Kong Szeto', 'Kit K. Szeto']",Environment and Climate Change Canada,0005
10.1002/hyp.10906,Julie M. Thériault,"['J. M. Theriault', 'J. M. Thériault', 'Julie Mireille Thériault', 'Julie Theriault', 'Julie M. Thériault', 'Julie M. Theriault', 'J.M. Thériault', 'Julie Thériault', 'J. Theriault']",University of Quebec at Montreal,0019
10.1002/hyp.10906,Bohdan Kochtubajda,"['Bob Kochtubajda', 'Bohdan Kochtubajda', 'B. Kochtubajda', 'B Kochtubajda', 'B. Kochtubajda; Bob Kochtubajda']",Environment and Climate Change Canada,0005
10.1002/hyp.10906,Ronald E. Stewart,"['R. E. STEWART', 'R Stewart', 'Ronald Earl Stewart', 'R. E. D. Stewart', 'R. E. Stewart', 'R.E. Stewart', 'Ronald E Stewart', 'R. Stewart', 'Ronald Stewart', 'Ronald E. Stewart']",University of Manitoba,0020
10.1002/hyp.10906,Sudesh Boodoo,"['S. Boodoo', 'Sudesh Boodoo']",Environment and Climate Change Canada,0005
10.1002/hyp.10906,Ron Goodson,"['Ron Goodson', 'R. Goodson']",Environment and Climate Change Canada,0005
10.1002/hyp.10906,Yanping Li,"['Yanping Li', 'Y. Li']",Global Institute for Water Security,0003
10.1002/hyp.10906,John W. Pomeroy,"['John Pomeroy', 'J.W. Pomeroy', 'J. W. Pomeroy', 'John W Pomeroy', 'J. W Pomeroy', 'John Willard Pomeroy', 'J. Pomeroy', 'J W Pomeroy', 'JW Pomeroy', 'John W. Pomeroy']",University of Saskatchewan,0001
10.1002/hyp.10910,Xing Fang,"['X. Fang', 'Fang Xing', 'Xing Fang']",University of Saskatchewan,0001
10.1002/hyp.10910,John W. Pomeroy,"['John Pomeroy', 'J.W. Pomeroy', 'J. W. Pomeroy', 'John W Pomeroy', 'J. W Pomeroy', 'John Willard Pomeroy', 'J. Pomeroy', 'J W Pomeroy', 'JW Pomeroy', 'John W. Pomeroy']",University of Saskatchewan,0001
10.1007/s12665-016-6027-1,Michael Weber,"['M Weber', 'M. Weber', 'Michael H. Weber', 'Michael Weber']",Ludwig-Maximilians-Universität München,0653
10.1007/s12665-016-6027-1,Matthias Bernhardt,"['Matthias Bernhardt', 'M. Bernhardt']","University of Natural Resources and Life Sciences, Vienna",0152
10.1007/s12665-016-6027-1,John W. Pomeroy,"['John Pomeroy', 'J.W. Pomeroy', 'J. W. Pomeroy', 'John W Pomeroy', 'J. W Pomeroy', 'John Willard Pomeroy', 'J. Pomeroy', 'J W Pomeroy', 'JW Pomeroy', 'John W. Pomeroy']",University of Saskatchewan,0001
10.1007/s12665-016-6027-1,Xing Fang,"['X. Fang', 'Fang Xing', 'Xing Fang']",University of Saskatchewan,0001
10.1007/s12665-016-6027-1,Stefan Härer,"['S. Härer', 'Stefan Härer']",Technical University of Munich,0343
10.1007/s12665-016-6027-1,Karsten Schulz,"['K Schulz', 'Karsten Schulz', 'K.-H. Schulz', 'K. Schulz']",IWW Water Centre,0530
10.1175/jhm-d-15-0226.1,John W. Pomeroy,"['John Pomeroy', 'J.W. Pomeroy', 'J. W. Pomeroy', 'John W Pomeroy', 'J. W Pomeroy', 'John Willard Pomeroy', 'J. Pomeroy', 'J W Pomeroy', 'JW Pomeroy', 'John W. Pomeroy']",University of Saskatchewan,0001
10.1175/jhm-d-15-0226.1,Richard Essery,"['R. Essery', 'Richard Lawrence Howard Essery', 'R Essery', 'R. L. Essery', 'Richard L.H. Essery', 'R .L. H. Essery', 'Richard L. H. Essery', 'RICHARD ESSERY', 'Richard Essery', 'R L H Essery', 'R.L.H. Essery', 'R. L. H. Essery']",University of Edinburgh,0065
10.1175/jhm-d-15-0226.1,Warren Helgason,"['Warren D. Helgason', 'W. D. Helgason', 'W. Helgason', 'W.D. Helgason', 'Warren Helgason', 'Warren D Helgason', 'Warren Douglas Helgason', 'W. H. Helgason']",University of Saskatchewan,0001
10.5558/tfc2016-010,R. L. Rothwell,"['R L Rothwell', 'R.L. Rothwell', 'Richard Rothwell', 'R. Rothwell', 'Richard L. Rothwell', 'R. L. Rothwell']",University of Alberta,0017
10.5558/tfc2016-010,G. R. Hillman,"['G.R. Hillman', 'G Hillman', 'Graham R Hillman', 'Graham Hillman', 'G. R. Hillman', 'Graham R. Hillman']",Natural Resources Canada,0014
10.5558/tfc2016-010,John W. Pomeroy,"['John Pomeroy', 'J.W. Pomeroy', 'J. W. Pomeroy', 'John W Pomeroy', 'J. W Pomeroy', 'John Willard Pomeroy', 'J. Pomeroy', 'J W Pomeroy', 'JW Pomeroy', 'John W. Pomeroy']",University of Saskatchewan,0001
10.1021/acs.est.6b05370,Keegan A. Hicks,"['K. A. Hicks', 'Keegan A. Hicks', 'Keegan Hicks']",University of Waterloo,0002
10.1021/acs.est.6b05370,Meghan Fuzzen,"['M.L. Fuzzen', 'M. Fuzzen', 'Meghan L.M. Fuzzen', 'Meghan Fuzzen', 'Meghan L M Fuzzen', 'Meghan L. M. Fuzzen', 'Meghan LM Fuzzen']",University of Waterloo,0002
10.1021/acs.est.6b05370,Emily Kaitlin McCann,"['Emily Kaitlin McCann', 'Emily K. McCann']",University of Waterloo,0002
10.1021/acs.est.6b05370,Maricor J. Arlos,"['Maricor Arlos', 'Maricor J. Arlos', 'Maricor J Arlos', 'M.J. Arlos', 'Maricor Jane Arlos', 'M. Arlos']",University of Alberta,0017
10.1021/acs.est.6b05370,Leslie M. Bragg,"['L.M. Bragg', 'Leslie M. Bragg', 'Leslie M Bragg', 'Leslie Bragg', 'Bragg Leslie', 'L. M. Bragg', 'L. Bragg']",University of Waterloo,0002
10.1021/acs.est.6b05370,Sonya Kleywegt,"['Sonya KleywegtS. Kleywegt', 'S. Kleywegt', 'Sonya Kleywegt']","Ministry of the Environment, Conservation and Parks",0454
10.1021/acs.est.6b05370,Gerald R. Tetreault,"['G. Tetreault', 'Gerald Tetreault', 'Gerald R. Tetreault', 'Gerald R Tetreault', 'G. R. Tetreault', 'Gerald Tétreault', 'Grald R. Tetreault', 'G.R. Tetreault']",Environment and Climate Change Canada,0005
10.1021/acs.est.6b05370,Mark E. McMaster,"['M E McMaster', 'Mark E. Mcmaster', 'M.E McMaster', 'M. Mcmaster', 'M McMaster', 'M. E. McMaster', 'M. McMaster', 'M.E. McMaster', 'M. E. Mcmaster', 'Mark McMaster', 'Mark Mcmaster', 'Mark E. McMaster', 'Mark E McMaster', 'M.E. Mcmaster']",Environment and Climate Change Canada,0005
10.1021/acs.est.6b05370,Mark R. Servos,"['Mark R. Servos.', 'M. R. Servos', 'M. Servos', 'M R Servos', 'Mark R Servos', 'Mark Servos', 'Mark R. Servos', 'Mark Roy Servos', 'M Servos', 'M.R. Servos']",University of Waterloo,0002
10.1007/s10546-017-0318-2,Nikolas Aksamit,"['Nikolas O Aksamit', 'Nikolas Olson Aksamit', 'Nikolas O. Aksamit', 'N. O. Aksamit', 'Nikolas Aksamit', 'Nikolas Olson Aksamit']",UiT The Arctic University of Norway,0450
10.1007/s10546-017-0318-2,John W. Pomeroy,"['John Pomeroy', 'J.W. Pomeroy', 'J. W. Pomeroy', 'John W Pomeroy', 'J. W Pomeroy', 'John Willard Pomeroy', 'J. Pomeroy', 'J W Pomeroy', 'JW Pomeroy', 'John W. Pomeroy']",University of Saskatchewan,0001
10.1139/facets-2017-0030,Willemijn M. Appels,"['Willemijn M. Appels', 'W Appels', 'W.M. Appels', 'W. M. Appels', 'Willemijn Appels', 'W. Appels']",Lethbridge College,1380
10.1139/facets-2017-0030,Lori Bradford,"['Lori Ea Bradford', 'L. E. Bradford', 'Lori Elisabet Ann Bradford', 'L. Bradford', 'Lori Bradford', 'Lori E. A. Bradford', 'L. E. A. Bradford', 'Lori E.A. Bradford']",Global Institute for Water Security,0003
10.1139/facets-2017-0030,Kwok Pan Chun,"['K. P. Chun', 'Kwok P. Chun', 'K.P. Chun', 'Kwok Pan Chun', 'Kwok-Pan Chun', 'P ChunKwok', 'Sun']",University of the West of England,0694
10.1139/facets-2017-0030,Anna Coles,"['Anna E. Coles', 'Anna Coles', 'A. Coles', 'A. E. Coles', 'A.E. Coles', 'Anna E Coles']",Wilfrid Laurier University,0006
10.1139/facets-2017-0030,Graham Strickert,"['Graham E. H. Strickert', 'Graham E. Strickert', 'G. Strickert', 'G. E. Strickert', 'Graham E.H. Strickert', 'Graham Strickert', 'Graham Eh Strickert', 'G. E. H. Strickert']",Global Institute for Water Security,0003
10.1175/jhm-d-16-0187.1,Zilefac Elvis Asong,"['Z.E. Asong', 'Zilefac Asong', 'Z. E. Asong', 'Zilefac Elvis ASONG', 'Zilefac E. Asong', 'Zilefac Elvis Asong']",Global Institute for Water Security,0003
10.1175/jhm-d-16-0187.1,Saman Razavi,"['S.A. Razavi', 'Saman razavi', 'Saman Razavi', 'S. Razavi', 'S Razavi', 'S A Razavi']",Australian National University,0010
10.1175/jhm-d-16-0187.1,H. S. Wheater,"['H. S. Wheater', 'Howard S Wheater', 'H.S Wheater', 'Howard Simon Wheater', 'Howard S. Wheater', 'H.S. Wheater', 'H. Wheater', 'H Wheater', 'H S Wheater', 'Howard Wheater']",University of Saskatchewan,0001
10.1175/jhm-d-16-0187.1,Jefferson S. Wong,"['Jefferson S. Wong', 'J.S. Wong', 'Jefferson Wong', 'J. S. Wong']",Global Institute for Water Security,0003
10.1038/nclimate3321,Julian C. Brimelow,"['J. C. Brimelow', 'Julian Charles. Brimelow', 'J. Brimelow', 'Julian C Brimelow', 'Julian Charles Brimelow', 'Julian C. Brimelow', 'Julian Brimelow']",Western University,0117
10.1038/nclimate3321,William R. Burrows,"['William Burrows', 'William R Burrows', 'W. R. Burrows', 'William R. Burrows', 'W. Burrows', 'W.R. Burrows']",Environment and Climate Change Canada,0005
10.1038/nclimate3321,John Hanesiak,"['J. M. Hanesiak', 'John Michael Hanesiak', 'John M. Hanesiak', 'J. M. HANESIAK', 'J.M. Hanesiak', 'J. Hanesiak', 'John Hanesiak']",University of Manitoba,0020
10.1016/j.wre.2017.02.005,Roy Brouwer,"['R Brouwer', 'R.L. Brouwer', 'Roy Brouwer', 'R. Brouwer']",University of Waterloo,0002
10.1016/j.wre.2017.02.005,Oleg Sheremet,"['O. Sheremet', 'Oleg Sheremet', 'Oleg Sheremet Oleg Sheremet']",University of Strathclyde,1379
10.1117/1.jrs.11.035013,Thuan Chu,"['T. Chu', 'Thuan Chu', 'T. K. Chu']",Government of Saskatchewan,1378
10.1117/1.jrs.11.035013,Apurba Das,"['Apurba Das', 'A. Das', 'A. S. Dini Das']",Global Institute for Water Security,0003
10.1117/1.jrs.11.035013,Karl-Erich Lindenschmidt,"['K. E Lindenschmidt', 'K.E. Lindenschmidt', 'Karl–Erich Lindenschmidt', 'Karl‐Erich Lindenschmidt', 'Karl Erich Lindenschmidt', 'K. Lindenschmidt', 'K. E. Lindenschmidt', 'Karl-Erich Lindenschmidt', 'K.-E. Lindenschmidt']",Global Institute for Water Security,0003
10.1016/j.dendro.2017.01.003,Kwok Pan Chun,"['K. P. Chun', 'Kwok P. Chun', 'K.P. Chun', 'Kwok Pan Chun', 'Kwok-Pan Chun', 'P ChunKwok', 'Sun']",University of the West of England,0694
10.1016/j.dendro.2017.01.003,Steven D. Mamet,"['S. Mamet', 'Steven D. Mamet', 'S.D. Mamet', 'Steven Mamet', 'S. D. Mamet', 'SD Mamet', 'Steven D Mamet', 'Steven Douglas Mamet']",University of Saskatchewan,0001
10.1016/j.dendro.2017.01.003,Juha M. Metsaranta,"['J. M. Metsaranta', 'MetsarantaJ.', 'Juha M. Metsaranta', 'J. Metsaranta', 'J.M. Metsaranta', 'Juha Metsaranta']",Natural Resources Canada,0014
10.1016/j.dendro.2017.01.003,Alan G. Barr,"['AG Barr', 'A. Barr', 'ALAN G BARR', 'Alan A. Barr', 'ALAN BARR', 'Alan Barr', 'A. G. Barr', 'A.G. Barr', 'Alan G. Barr', 'Alan G Barr', 'A.G Barr', 'A G Barr', 'Barr Ag']",Global Institute for Water Security,0003
10.1016/j.dendro.2017.01.003,Jill F. Johnstone,"['Jermaine Johnstone', 'J. Johnstone', 'Jill F Johnstone', 'J.F. Johnstone', 'Jill Johnstone', 'Jill JohnstoneJ. Johnstone', 'Jill F. Johnstone', 'J. F. Johnstone', 'Jill F. JohnstoneJ.F. Johnstone', 'Jill F. Johnstone']",Yukon University,0135
10.1016/j.dendro.2017.01.003,H. S. Wheater,"['H. S. Wheater', 'Howard S Wheater', 'H.S Wheater', 'Howard Simon Wheater', 'Howard S. Wheater', 'H.S. Wheater', 'H. Wheater', 'H Wheater', 'H S Wheater', 'Howard Wheater']",University of Saskatchewan,0001
10.1002/hyp.11346,Diogo Costa,"['Daniel Costa', 'Daniel G. Costa', 'Diogo Costa', 'D. Costa', 'Daniel Gouveia Costa', 'Diogo Moreira da Costa', 'Daniel Lucas Conceição Costa', 'D. M. Costa', 'Daniel L.C. Costa', 'Daniel L. C. Costa', 'D.L.C. Costa']",University of Porto,0151
10.1002/hyp.11346,Jennifer Roste,['Jennifer Roste'],Global Institute for Water Security,0003
10.1002/hyp.11346,John W. Pomeroy,"['John Pomeroy', 'J.W. Pomeroy', 'J. W. Pomeroy', 'John W Pomeroy', 'J. W Pomeroy', 'John Willard Pomeroy', 'J. Pomeroy', 'J W Pomeroy', 'JW Pomeroy', 'John W. Pomeroy']",University of Saskatchewan,0001
10.1002/hyp.11346,Helen M. Baulch,"['H. Baulch', 'H. M. Baulch', 'H.M. Baulch', 'Helen M. BaulchH.M. Baulch', 'Helen M Baulch', 'Helen Baulch', 'Helen Margaret Baulch', 'Helen M. Baulch']",University of Saskatchewan,0001
10.1002/hyp.11346,J. M. Elliott,"['Joshua G. Elliott', 'J.G. Elliott', 'Joshua Elliott', 'J. G Elliott', 'J. Elliott', 'Jane A. Elliott', 'John Elliott', 'John Malcolm Elliott', 'Jane Elliott', 'J. A. Elliott', 'J. G. Elliott', 'J G Elliott', 'Joshua Gordon Elliott', 'J. M. Elliott', 'J Elliott', 'J.M. Elliott', 'J.A. Elliott', 'J M Elliott', 'J. Malcolm Elliott']",Environment and Climate Change Canada,0005
10.1002/hyp.11346,H. S. Wheater,"['H. S. Wheater', 'Howard S Wheater', 'H.S Wheater', 'Howard Simon Wheater', 'Howard S. Wheater', 'H.S. Wheater', 'H. Wheater', 'H Wheater', 'H S Wheater', 'Howard Wheater']",University of Saskatchewan,0001
10.1002/hyp.11346,Cherie J. Westbrook,"['Cherie Jennifer. Westbrook', 'C. J. Westbrook', 'C. Westbrook', 'Cherie Westbrook', 'Cherie J. Westbrook', 'C.J. Westbrook', 'Cherie J Westbrook']",University of Saskatchewan,0001
10.1016/j.jhydrol.2017.07.051,C. M. DeBeer,"['Chris M. DeBeer', 'C. DeBeer', 'Chris M. Debeer', 'Christopher M. Debeer', 'C. Debeer', 'Chris Debeer', 'Christopher M. DeBeer', 'C. M. DeBeer', 'Chris DeBeer']",Global Institute for Water Security,0003
10.1016/j.jhydrol.2017.07.051,John W. Pomeroy,"['John Pomeroy', 'J.W. Pomeroy', 'J. W. Pomeroy', 'John W Pomeroy', 'J. W Pomeroy', 'John Willard Pomeroy', 'J. Pomeroy', 'J W Pomeroy', 'JW Pomeroy', 'John W. Pomeroy']",University of Saskatchewan,0001
10.3390/w9100767,Babak Farjad,"['B. Farjad', 'Babak Farjad']",University of Calgary,0007
10.3390/w9100767,Anil Gupta,"['A. Gupta', 'Anil Kumar. Gupta', 'A. K. Gupta', 'A Gupta', 'Anil Gupta', 'Anil Kumar Gupta', 'Anil K. Gupta', 'A K Das Gupta']",Alberta Environment and Sustainable Resource Development,0060
10.3390/w9100767,Saman Razavi,"['S.A. Razavi', 'Saman razavi', 'Saman Razavi', 'S. Razavi', 'S Razavi', 'S A Razavi']",Australian National University,0010
10.3390/w9100767,Monireh Faramarzi,"['M. Faramarzi', 'M Faramarzi', 'Monireh Faramarzi', 'M Soltani Gord Faramarzi']",University of Alberta,0017
10.3390/w9100767,Danielle J. Marceau,"['D. J. Marceau', 'D. Marceau', 'D.J. Marceau', 'Danielle J Marceau', 'D.J Marceau', 'Danielle J. Marceau', 'Danielle Marceau', 'Danielle MARCEAU']",University of Calgary,0007
10.5194/hess-21-6345-2017,José-Luis Guerrero,"['J. Guerrero', 'J. L. Guerrero', 'J.-L. Guerrero', 'Jose-Luis Guerrero', 'José-Luis Guerrero', 'J. Lobo Guerrero']",Norwegian Institute for Water Research,0381
10.5194/hess-21-6345-2017,Patricia Pernica,"['Patricia Pernica', 'P. Pernica', 'Patricia M Pernica']",Global Institute for Water Security,0003
10.5194/hess-21-6345-2017,H. S. Wheater,"['H. S. Wheater', 'Howard S Wheater', 'H.S Wheater', 'Howard Simon Wheater', 'Howard S. Wheater', 'H.S. Wheater', 'H. Wheater', 'H Wheater', 'H S Wheater', 'Howard Wheater']",University of Saskatchewan,0001
10.5194/hess-21-6345-2017,Murray Mackay,"['M.D. Mackay', 'M. MacKay', 'Murray D. Mackay', 'M. Mackay', 'Murray D. MacKay', 'Murray MacKay', 'M.D. MacKay', 'M. D. Mackay', 'M. D. MacKay', 'Murray Mackay']",Environment and Climate Change Canada,0005
10.5194/hess-21-6345-2017,C. Spence,"['C D Spence', 'C Spence', 'Chris Spence', 'C. Spence']",Environment and Climate Change Canada,0005
10.1016/j.envsoft.2017.03.031,Amin Haghnegahdar,"['A Haghnegahdar', 'A. Haghnegahdar', 'Amin Haghnegahdar']",Global Institute for Water Security,0003
10.1016/j.envsoft.2017.03.031,Saman Razavi,"['S.A. Razavi', 'Saman razavi', 'Saman Razavi', 'S. Razavi', 'S Razavi', 'S A Razavi']",Australian National University,0010
10.1002/hyp.11358,Amin Haghnegahdar,"['A Haghnegahdar', 'A. Haghnegahdar', 'Amin Haghnegahdar']",Global Institute for Water Security,0003
10.1002/hyp.11358,Saman Razavi,"['S.A. Razavi', 'Saman razavi', 'Saman Razavi', 'S. Razavi', 'S Razavi', 'S A Razavi']",Australian National University,0010
10.1002/hyp.11358,Fuad Yassin,"['Fuad Abdo Yassin', 'F. Yassin', 'Fuad A. Yassin', 'F. A. Yassin', 'Fuad Yassin']",University of Saskatchewan,0001
10.1002/hyp.11358,H. S. Wheater,"['H. S. Wheater', 'Howard S Wheater', 'H.S Wheater', 'Howard Simon Wheater', 'Howard S. Wheater', 'H.S. Wheater', 'H. Wheater', 'H Wheater', 'H S Wheater', 'Howard Wheater']",University of Saskatchewan,0001
10.1002/2017gl074394,Phillip Harder,"['Phillip Harder', 'P. Harder', 'Phillip Stephen Harder', 'Phillip S. Harder']",University of Saskatchewan,0001
10.1002/2017gl074394,John W. Pomeroy,"['John Pomeroy', 'J.W. Pomeroy', 'J. W. Pomeroy', 'John W Pomeroy', 'J. W Pomeroy', 'John Willard Pomeroy', 'J. Pomeroy', 'J W Pomeroy', 'JW Pomeroy', 'John W. Pomeroy']",University of Saskatchewan,0001
10.1002/2017gl074394,Warren Helgason,"['Warren D. Helgason', 'W. D. Helgason', 'W. Helgason', 'W.D. Helgason', 'Warren Helgason', 'Warren D Helgason', 'Warren Douglas Helgason', 'W. H. Helgason']",University of Saskatchewan,0001
10.1002/hyp.11391,Jordan S. Harrington,"['J. Harrington', 'Jordan Shane Harrington', 'Jordan S. Harrington']",BGC Engineering (Canada),0282
10.1002/hyp.11391,Masaki Hayashi,"['M. HAYASHI', 'masaki hayashi', 'M Hayashi', 'M. N. Hayashi', 'M. Hayashi', 'Masaki Hayashi', 'M N Hayashi']",Waseda University,0070
10.1002/hyp.11391,Barret L. Kurylyk,"['Barret Kurylyk', 'Barret L Kurylyk', 'BARRET L. KURYLYK', 'B. L. Kurylyk', 'B. Kurylyk', 'Barret L. Kurylyk', 'B.L. Kurylyk']",Dalhousie University,0037
10.1088/1748-9326/aa8c85,Manuel Helbig,"['Manuel Helbig', 'M. Helbig']",Dalhousie University,0037
10.1088/1748-9326/aa8c85,W. L. Quinton,"['W. Quinton', 'William Quinton', 'W Quinton', 'William Leo Quinton', 'W L Quinton', 'W.L. Quinton', 'William L Quinton', 'William .L. Quinton', 'William L. Quinton', 'W. L. Quinton']",Wilfrid Laurier University,0006
10.1088/1748-9326/aa8c85,Oliver Sonnentag,"['Oliver Sonnentag', 'O. Sonnentag']",University of Montreal,0011
10.1142/s201000781750004x,Tewodros Negash Kahsay,"['T.N. Kahsay', 'Tewodros Negash Kahsay', 'Tewodros Kahsay']",Vrije Universiteit Amsterdam,0059
10.1142/s201000781750004x,Onno Kuik,"['Onno Kuik', 'O. J. Kuik', 'O Kuik', 'O. Kuik', 'Onno J Kuik', 'OJ Kuik', 'Onno J. Kuik', 'O.J. Kuik']",Vrije Universiteit Amsterdam,0059
10.1142/s201000781750004x,Roy Brouwer,"['R Brouwer', 'R.L. Brouwer', 'Roy Brouwer', 'R. Brouwer']",University of Waterloo,0002
10.1142/s201000781750004x,Pieter van der Zaag,"['Pieter Van der Zaag', 'Pieter Van Der Zaag', 'Pieter van der Zaag', 'P. Van der Zaag', 'P van der Zaag', 'P Van der Zaag', 'P. Zaag', 'P. van der Zaag', 'Pieter van Der Zaag', 'Pieter van der zaag']",IHE Delft Institute for Water Education,0241
10.1007/s11269-017-1847-7,Tewodros Negash Kahsay,"['T.N. Kahsay', 'Tewodros Negash Kahsay', 'Tewodros Kahsay']",Vrije Universiteit Amsterdam,0059
10.1007/s11269-017-1847-7,Onno Kuik,"['Onno Kuik', 'O. J. Kuik', 'O Kuik', 'O. Kuik', 'Onno J Kuik', 'OJ Kuik', 'Onno J. Kuik', 'O.J. Kuik']",Vrije Universiteit Amsterdam,0059
10.1007/s11269-017-1847-7,Roy Brouwer,"['R Brouwer', 'R.L. Brouwer', 'Roy Brouwer', 'R. Brouwer']",University of Waterloo,0002
10.1007/s11269-017-1847-7,Pieter van der Zaag,"['Pieter Van der Zaag', 'Pieter Van Der Zaag', 'Pieter van der Zaag', 'P. Van der Zaag', 'P van der Zaag', 'P Van der Zaag', 'P. Zaag', 'P. van der Zaag', 'Pieter van Der Zaag', 'Pieter van der zaag']",IHE Delft Institute for Water Education,0241
10.1002/eco.1923,Daniel J. Karran,"['Daniel J. Karran', 'Daniel J Karran', 'Daniel Karran', 'D. J. Karran']",Global Institute for Water Security,0003
