doi,paper
10.1145/3510455.3512793,"Bhattacharjee A, Roy B, and *Schneider KA, ""Supporting program comprehension by generating abstract code summary tree"", in Proceedings of the 44th International Conference on Software Engineering (ICSE 2022) New Ideas and Emerging Results track, 5pp., Pittsburgh, PA, USA, May 2022.  "
10.1145/3511430.3511441,"Bhattacharjee A, Roy B, and Schneider KA, ""Supporting Readability by Comprehending the Hierarchical Abstraction of a Software Project"", ACM 15th Innovation in Software Engineering Conference (ISEC 2022), Article 13, pp. 1-10, DA-IICT Gandhinagar, February 2022. "
10.1145/3457145,"Chakroborti D, Roy B, Sumana S N. (2021), “Designing for Recommending Intermediate States in A Scientific Workflow Management System”, Journal Proceedings of the ACM on Human-Computer Interaction, 5, EICS, Article 198 (June 2021), pp.,1-29, "
10.1145/3511430.3511444,"Cynthia ST, Roy B and *Mondal D, ""Feature Transformation for Improved Software Bug Detection Models"", ACM 15th Innovation in Software Engineering Conference (ISEC 2022), Article 16, pp. 1-10, DA-IICT Gandhinagar, February 2022. "
10.4204/EPTCS.273,"Espenant, J. and Mondal, D.: StreamTable: An Area Proportional Visualization for Tables with Flowing Streams. In Proceedings of the 16th International Conference and Workshop on Algorithms and Computation (WALCOM), 2022. "
10.1007/978-3-030-90439-5_8,"Hasan, M. R., Mondal, D., Tasnim, J., Schneider, K. A.: Putting Table Cartograms into Practice. ISVC (1) 2021: 91-102 "
10.1145/1008992,"Jimmy Lin, Xueguang Ma, Sheng-Chieh Lin, Jheng-Hong Yang, Ronak Pradeep, and Rodrigo Nogueira. Pyserini: A Python Toolkit for Reproducible Information Retrieval Research with Sparse and Dense Representations. Proceedings of the 44th Annual International ACM SIGIR Conference on Research and Development in Information Retrieval (SIGIR 2021), pages 2356-2362, July 2021. "
10.1061/(asce)he.1943-5584.0002097,"Juliane Mai, Bryan A. Tolson, Hongren Shen, Étienne Gaborit, Vincent Fortin, Nicolas Gasset, Hervé Awoye, Tricia A. Stadnyk, Lauren M. Fry, Emily A. Bradley, Frank Seglenieks, André G. T. Temgoua, Daniel G. Princz, Shervan Gharari, Amin Haghnegahdar, Mohamed E. Elshamy, Saman Razavi, Martin Gauch, Jimmy Lin, Xiaojing Ni, Yongping Yuan, Meghan McLeod, Nandita B. Basu, Rohini Kumar, Oldrich Rakovec, Luis Samaniego, Sabine Attinger, Narayan K. Shrestha, Prasad Daggupati, Tirthankar Roy, Sungwook Wi, Tim Hunter, James R. Craig, and Alain Pietroniro. Great Lakes Runoff Intercomparison Project Phase 3: Lake Erie (GRIP-E). Journal of Hydrologic Engineering, 26(9):05021020, 2021. "
10.1109/SANER50967.2021.00073,"Khodabandehloo H, Roy B, *Roy CK, *Schneider KA, Mondal M, ""A Testing Approach While Re-engineering Legacy Systems: An Industrial Case Study"", in the Proceedings of the 28th IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER), 2021, pp. 600-604.   "
10.1016/j.envsoft.2021.105018,"Marsh, C.B., Green, K.R., Wang, B., ∗Spiteri, R.J. (2021). Performance improvements to modern hydrological models via lookup table optimizations. Environmental Modelling & Software, 139: 105018. "
10.5194/hess-2020-540,"Martin Gauch, Frederik Kratzert, Daniel Klotz, Grey Nearing, Jimmy Lin, and Sepp Hochreiter. Rainfall–Runoff Prediction at Multiple Timescales with a Single Long Short-Term Memory Network. Hydrology and Earth System Sciences, 25(4):2045-2062, 2021. "
10.1016/J.ENVSOFT.2020.104926,"Martin Gauch, Juliane Mai, and Jimmy Lin. The Proper Care and Feeding of CAMELS: How Limited Training Data Affects Streamflow Prediction. Environmental Modelling & Software, 135:104926, 2021. "
10.18293/SEKE2021-060,"Mondal AK, Roy B, Sumana SN and Schneider KA, “ArchiNet: A Concept-token based Approach for Determining Architectural Change Categories”, The 33rd International Conference on Software Engineering & Knowledge Engineering (SEKE), KSIR Virtual Conference Center, Pittsburgh, USA, 2021. pp. 7-14.  "
10.1145/3475716.3484487,"Mondal AK, Roy CK, Schneider KA, Roy B, and Nath SS, ""Semantic Slicing of Architectural Change Commits: Towards Semantic Design Review"", in Proceedings of the 15th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM), pp. 1-6. 2021. (I contributed in overall design, data analysis and revising the article). "
10.1007/s10664-020-09921-9,"Mondal M, Roy B, Roy CK, and Schneider KA, ""ID-correspondence: A Measure for Detecting Evolutionary Coupling"", Empirical Software Engineering 26, 5 (2021), https://link.springer.com/article/10.1007/s10664-020-09921-9. "
10.1109/ICPC52881.2021.00024,"Mondal M, Roy CK, Roy B and Schneider KA, ""FLeCCS: A Technique for Suggesting Fragment-Level Similar Co-change Candidates"", in the Proceedings of the 29th IEEE/ACM International Conference on Program Comprehension (ICPC), 2021, pp. 160-171. "
10.1145/3511430.3511439,"Mondal S, and Roy B, ""Reproducibility Challenges and Their Impacts on Technical Q&A Websites: The Practitioners' Perspectives"", ACM 15th Innovation in Software Engineering Conference (ISEC 2022), Article 11, pp. 1-11, DA-IICT Gandhinagar, February 2022 (Best Paper Award). "
10.1109/saner53432.2022.00109,"Nafi KW, Asaduzzaman M, Roy B, *Roy CK and *Schneider KA, ""Mining Software Information Sites to Recommend Cross-Language Analogical Libraries"", in Proceedings of the 29th IEEE International Conference on Software Analysis, Evolution and Reengineering  (SANER 2022), 11 pp., March  2022. "
10.48550/arXiv.2204.05355,"Nath SS and Roy B, Exploring Relevant Artifacts of Release Notes: The Practitioners’ Perspectives, in Proceeding of the 29th IEEE International Conference on Software Analysis, Evolution, and Reengineering (SANER’22) workshop of the 1st Workshop on Advances in Human-Centric Experiments in Software Engineering (HUMAN 2022), 8pp., virtual event, March 2022. "
10.1142/s0218194021400192,"Nath SS, and Roy B, “Automatically generating release notes with content classification models”, International Journal of Software Engineering and Knowledge Engineering, 31(11n12):1721–1740, 2021. "
10.1145/3469096.3474929,"Ogundepo Odunayo, Naveela N. Sookoo, Gautam Bathla, Anthony Cavallin, Bhaleka D. Persaud, Kathy Szigeti, Philippe Van Cappellen, Jimmy Lin. Rescuing Historical Climate Observations to Support Hydrological Research: A Case Study of Solar Radiation Data. Proceedings of the 21st ACM Symposium on Document Engineering (DocEng '21), Article No. 19, August 2021. "
10.1145/3511430.3511463,"Oishie NZ, and Roy B, “Commit-Checker: A human-centric approach for adopting bug inducing commit detection using machine learning models”, in Proceedings of the ACM 15th Innovation in Software Engineering Conference (ISEC 2022), ACM Student Research Competition (SRC), Article 36, pp. 1-3, DA-IICT Gandhinagar, February 2022. "
10.1007/978-981-16-6636-0_14,"Roy B, *Roy CK, and *Schneider KA, “Large Scale Image Registration Utilizing Data-Tunneling in the MapReduce Cluster”, In: Arefin M.S., Kaiser M.S., Bandyopadhyay A., Ahad M.A.R., Ray K. (eds) Proceedings of the International Conference on Big Data, IoT, and Machine Learning. Lecture Notes on Data Engineering and Communications Technologies, vol 95, pp. 167-180, Springer, Singapore. https://"
10.18293/SEKE2021-119,"Sumana SN and Roy B, “Towards Automatically Generating Release Notes using Extractive Summarization Technique”, The 33rd International Conference on Software Engineering & Knowledge Engineering (SEKE), KSIR Virtual Conference Center, Pittsburgh, USA, 2021, pp. 241-248.  "
10.1109/PacificVis53943.2022.00024,"Wang, S., Mondal, D., Sadri, S., Roy, C. K., Famiglietti J.S., and Schneider, K. A.: SET-STAT-MAP: Extending Parallel Sets for Visualizing Mixed Data. In Proceedings of the 15th IEEE PacificVis symposium, 2022. "
10.1016/j.apnum.2021.10.003,"Wei, S., ∗Spiteri, R.J. (2022). Qualitative Property Preservation of High-Order Operator Splitting for the SIR Model. Applied Numerical Mathematics 172: 332–350. "
10.1145/2689664,"Zolfaghari, R., Taylor, J., ∗Spiteri, R.J. (2021). Structural analysis of integro-differential–algebraic equations. Journal of Computational and Applied Mathematics, 394: 113568. "
10.1175/JHM-D-20-0175.1,"Clark, M.P., Zolfaghari, R., Green, K.R., Trim, S., Knoben, W.J.M., Bennett, A., Nijssen, B., Ireson, A., Spiteri, R.J. (2021). The numerical implementation of land models: problem formulation and laugh tests. Journal of Hydrometeorology, 22(6): 1627–1648. https://"
10.1080/02626667.2021.1987440,"Amin, A., G. Zuecco, C. Marchina, M. Engle, D. Penna and J. J. McDonnell, 2021.  No evidence of isotopic fractionation in olive trees (Olea europaea): a stable isotope tracing experiment. Hydrological Science Journal, 66:16, 2415-2430, "
10.1002/hyp.14073,"Benettin, P., M. F. Nehemy, L. A. Cernusak, A. Kahmen, and J. J. McDonnell, 2021.  On the use of leaf water to determine plant water sources: a proof of concept. Hydrologic Processes, "
10.1029/2020WR029049,"Benettin, P., M. F. Nehemy, M. Asadollahi, D. Pratt, M. Bensimon, J. J. McDonnell, and A. Rinaldo, 2021.  Tracing and closing the water balance in a vegetated lysimeter. Water Resources Research, "
10.1002/rcm.9118,"Millar, C., K. Janzen, M. F. Nehemy, G. Koehler, P. Hervé-Fernández, J. J. McDonnell, 2021.  Organic contamination detection for isotopic analysis of water by laser spectroscopy. Rapid Comm. in Mass Spec., "
10.1002/hyp.14004,"Nehemy, M. F., P. Benettin, M. Asadollahi, D. Pratt, A. Rinaldo and J. J. McDonnell, 2021.  Tree water deficit and dynamic source water partitioning. Hydrological Processes, https://"
10.1016/j.ejrh.2021.100834,"Peskett, L. M., K. V. Heal, A. M. MacDonald, A. R. Black, J. J. McDonnell, 2021.  Tracers reveal limited influence of plantation forests on surface runoff in a UK natural flood management catchment. Journal of Hydrology, "
10.1016/j.foreco.2021.119355,"Sohel, Md. S., A. Vega Grau, J. J. McDonnell, J. Herbohn, 2021.  Tropical forest water source patterns revealed by stable isotopes: A preliminary analysis of 46 neighboring species. Forest Ecology and Management, "
10.1016/j.ejrh.2022.101032,"Spencer, C. J., S. L. Barbour, J. J. McDonnell, J. J. Gibson, 2022.  Using stable isotopes to track hydrological processes at an oil sands mine, Alberta, Canada. Journal of Hydrology, 40, "
10.1016/j.scitotenv.2021.148675,"Vega-Grau, A. M., J. J. McDonnell, S. Schmidt, M. Annandale, J. Herbohn, 2021.  Isotopic fractionation from deep roots to tall shoots: A forensic analysis of xylem water isotope composition in mature tropical savanna trees. Science of the Total Environment, "
10.1016/j.ecolecon.2021.107186,"Dai, D., Brouwer, R. and Kun, L. (2021). Measuring the economic value of urban river restoration. Ecological Economics, 190: 107186. https://"
10.1111/cjag.12304,"Macaskill, J, Lloyd-Smith, P (2022). Six decades of environmental resource valuation in Canada: A synthesis of the literature. Canadian Journal of Agricultural Economics. 70(1): 73-89. "
10.1016/j.ecoser.2021.101393,"Robinson, P.J., van Beukering, P., Brander, L., Brouwer, R., Haider, W., Taylor M., Mau, P. (2022). Understanding the determinants of biodiversity non-use values in the context of climate change: Stated preferences for the Hawaiian coral reefs. Ecosystem Services, 53: 101393. https://"
10.1080/07011784.2021.1973568,"Brouwer, R. and Pinto, R. (2021). How much are Canadians willing to pay for clean surface and ground water? A meta-analysis of the Canadian non-market valuation literature. Canadian Water Resources Journal, 46(4): 207-228. http://dx."
10.1016/j.aquatox.2021.105847,"Ankley, P.J., Y.-Y. Xie, T. Black, A. DeBofsky, M. Perry, M.J. Paterson, M. Hanson, S. Higgins, J.P. Giesy and V. Palace. 2021. Using Zooplankton Metabarcoding to Assess the Efficacy of Different Techniques to Clean-up an Oil-spill in a Boreal Lake. Aquatic Toxicol. 236:105847.   https://"
10.21203/rs.3.rs-1439969/v2,"Arts E., S. Brown, D. Bulir, T.C. Charles, C.T. DeGroot, R. Delatolla, J-P. Desaulniers, E.A. Edwards, M. Fuzzen, K. Gilbride, J. Gilchrist, L. Goodridge, T.E. Graber, M. Habash, P. Jüni, A. Kirkwood, J. Knockleby, C. Kyle, C. Landgraff, C. Mangat, D. G Manuel, R.M. McKay, E.M.A. Mloszewska, B. Ormeci, C. Oswald, S.J. Payne, H. Peng, S. Peterson, A.F.Y. Poon, M.R. Servos, D. Simmons, J. Sun, M. Yang, G.Ybazeta. 2022. Community Surveillance of Omicron in Ontario: Wastewater-based Epidemiology comes of age. Research Square Preprint, http://"
10.1021/acs.est.1c03948,"Chen, Q.-L., X.-L. Lian, J.-J. An, N.-B. Geng, H.-J. Zhang, J.K. Challis, Y. Luo, Y. Liu, G.-Y. Su, Y.-W. Xie, Y.-W. Li, Z.-H. Liu, Y.-J. Shen, J.P. Giesy and Y.-F. Gong. 2021. Life Cycle Exposure to Environmentally Relevant Concentrations of Diphenyl Phosphate (DPHP) Inhibits Growth and Energy Metabolism of Zebrafish in a Sex-Specific Manner. Envir. Sci. Technol. 55:13122-13131.  HTTPS://"
10.1101/2020.08.23.20180224,"Chik, A.H.S., J.  Ho, N, Srikanthan, H. Dhiyebi, M. Servos. 2022. Wastewater sample preparation protocol for inter-laboratory comparisons of methods to quantify SARS-CoV-2. Journal of Environmental Engineering, Manuscript ID: ew-2021-00349k March 2022. In press "
10.1016/j.jes.2021.01.029,"Chik, A.H.S., M. Glier, M. Servos, C. Mangat, X.-L. Pang, Y.-Y. Qiu, P. D’Aoust, J.-B. Burnet, R. Delatolla, S. Dorner, J.P. Giesy, Jr., R.M. McKay, M. Mulvey, N. Prystajecky, N. Srikanthan, Y.-W. Xie, B. Conant and S.E. Hrudey. 2021. Comparison of Approaches to Quantify SARS-CoV-2 in Wastewater using RT-qPCR: Results and Implications from a Collaborative Inter-laboratory Study in Canada. J. Environ. Sci. 107:218-229.  HTTPS://"
10.1016/j.envpol.2021.116821,"DeBofsky, A., Y.-W. Xie, J. Challis, N. Jain, M. Brinkmann, P. D. Jones and J.P. Giesy. Responses of Juvenile Fathead Minnow (Pimephales promelas) Gut Microbiome to a Chronic Dietary Exposure of Benzo[a]pyrene. Environ. Pollut. 278:116821.  https://"
10.1101/2022.04.12.22273761,"Fuzzen, M., N.B.J. Harper, H.A. Dhiyebi, N. Srikanthan, S. Hayat, S.W. Peterson, I. Yang, J.X. Sun, E.A. Edwards, J.P. Giesy, C.S. Mangat, T.E. Graber, R. Delatolla, M.R. Servos. 2022. Multiplex RT-qPCR assay (N200) to detect and estimate prevalence of multiple SARS-CoV-2 Variants of Concern in wastewater. Preprint MedRxiv  "
10.1101/2022.03.07.22272055,"Hubert, C.R.J., N. Acosta, B.J. Waddell, M.E. Hasing, Y. Qiu, M. Fuzzen, N.B.J. Harper, M.A. Bautista, T. Gao, C. Papparis, J. Van Doorn, K. Du, K. Xiang, L. Chan, L. Vivas, P. Pradhan, J. McCalder, K. Low, W.E. England, J. Conly, M.C. Ryan, G. Achari, J. Hu, J.L Cabaj, C. Sikora, L. Svenson, N. Zelyas, M. Servos, J. Meddings, S.E. Hrudey, K. Frankowski, M.D. Parkins, X. Pang, B.E. Lee. 2022. Emergence and spread of the SARS-CoV-2 Omicron variant in Alberta communities revealed by wastewater monitoring. medRxiv https://"
10.1002/etc.5107,"Ruso, G.E., Hogan, N.S., Sheedy, C., Gallant, M.J., and Jardine, T.D. 2021.  Effects of agricultural stressors on growth and an immune status indicator in wood frog (Lithobates sylvaticus) tadpoles and metamorphs. Environmental Toxicology and Chemistry 40: 2269-2281, https://"
10.1016/j.scitotenv.2021.152547,"Su, S., P.D. Jones, J.C. Raine, Z.L. Yang, Y.F. Gong, Y.W. Xie, J. Tang, C. Wang, X.L. Zhao and J.P. Giesy. 2022. Absorption and Elimination of Per and Poly-fluoroalkyl Substances Substitutes in Salmonid Species after Pre-fertilization Exposure. Sci. Tot.  Environ. 814:152547.  https://"
10.1111/gcb.15638,"Wang, C., Gong, Y.F., Deng, F.C., Ding, E.M., Tang, J., Codling, G., Challis, J.K., Green, D., Wang, J., Chen, Q.L., Xie, Y.W., Su, S., Yang, Z.L., Raine, J., Jones, P.D., Tang, S., Giesy. J.P., Remodeling of Arctic char (Salvelinus alpinus) lipidome under a stimulated scenario of Arctic warming. Global Change Biology, 2021, 27(14):3282-3298. https://"
10.1111/ddi.13284,"Wang, Y., K. Chen, J. Gao, M. Wang, J. Dong, F. Zhang, Y.-Y. Xie, J.P. Giesy, X.-W. Jin and B.-X. Wang. 2021. Environmental DNA of Preservative Ethanol Performed Better over Water Environmental DNA of preservative EtOH performed better than samples of water in detecting macroinvertebrate diversity using metabarcoding. Diversity Distributions 2021;00:1–14.  https://"
10.1016/j.scitotenv.2021.152422,"Weber, A., Y.-W. Xie, J.K. Challis, A. DeBofsky, P.J. Ankley, M. Hecker, P.D. Jones and J.P. Giesy. 2022. Effects of Aqueous Fluoxetine Exposure on Gut Microbiome of Adult Pimephales promelas. Sci. Tot. Environ. 813:152422.  https://"
10.1021/acsestwater.1c00349,"Xie, Y.W., Challis, J.K., Oloye, F.F., Asadi, M., Cantin, J., Brinkmann, M., McPhedran, K.N., Hogan, N., Sadowski, M., Jones, P.D., Landgraff, C., Mangat, C., Servos, M.R., Giesy. J.P., RNA in Municipal Wastewater Reveals Magnitudes of COVID-19 Outbreaks across Four Waves Driven by SARS-CoV-2 Variants of Concern. Envir. Sci. Technol Water. Accepted.  Dashboard: https://water.usask.ca/covid-19/#SaskatoonWastewaterData "
10.3390/toxins14040251,"Abbes S, Vo Duy S, Munoz G, Dinh QT, Simon DF, Husk B, Baulch HM, Vinçon-Leite B, Fortin N, Greer CW, Larsen ML, Venkiteswaran JJ, Martínez Jerónimo FF, Giani A, Lowe CD, Tromas N, Sauvé S. 2022. Occurrence of BMAA Isomers in Bloom-Impacted Lakes and Reservoirs of Brazil, Canada, France, Mexico, and the United Kingdom. Toxins. 14(4): 251, "
10.1109/IGARSS47720.2021.9554110,"Chegoonian, A. M., Zolfaghari, K., Baulch, H. M., & Duguay, C. R. (2021, July). Support Vector Regression for Chlorophyll-A Estimation Using Sentinel-2 Images in Small Waterbodies. In 2021 IEEE International Geoscience and Remote Sensing Symposium IGARSS (pp. 7449-7452). IEEE. "
10.1002/lom3.10480,"Chegoonian, A. M., Zolfaghari, K., Leavitt, P. R., Baulch, H. M., & Duguay, C. R. (2022). Improvement of field fluorometry estimates of chlorophyll a concentration in a cyanobacteria‐rich eutrophic lake. Limnology and Oceanography: Methods. "
10.1080/10402381.2021.1992544,"Haig, H. A., Chegoonian, A. M., Davies, J. M., Bateson, D., & Leavitt, P. R. (2021). Marked blue discoloration of late winter ice and water due to autumn blooms of cyanobacteria. Lake and Reservoir Management, 1-15. "
10.1007/s00410-017-1357-x,"Liu, K., Wu, L., Schiff, S., Molot, L.A., Venkiteswaran, J., Paterson, M., Elgood, R., Tsuji, J.M. and Neufeld, J.D. 2022. Large fractionation in iron isotopes reveals novel metabolic pathways for iron cycling in boreal shield lakes. Environmental Science & Technology, submitted.  "
10.1080/10402381.2020.1854400,"Molot, L.A., S.L. Schiff, J.J. Venkiteswaran, H.M. Baulch, S.N. Higgins, A. Zastepa, M.J. Verschoor, and D. Walters. 2021. Low sediment redox promotes cyanobacteria across a trophic range: implications for bloom management. Lake and Reservoir Management, 37, "
10.1088/1748-9326/ac0564,"Molot, L.A., S.N. Higgins, S.L. Schiff, J.J. Venkiteswaran, Michael J. Paterson and H.M. Baulch, 2021. Phosphorus-only fertilization rapidly initiates large nitrogen-fixing cyanobacteria blooms in two oligotrophic lakes. Environmental Research Letters, 16: 12 pgs, "
10.1002/essoar.10510183.1,"Painter KJ, Venkiteswaran JJ, Simon DF, Duy SV, Sauvé S, Baulch HM. Two Distinct Cyanobacterial Bloom Phases Detected in a Shallow, Eutrophic Drinking Water Reservoir. Environmental Science: Processes & Impacts. Submitted. M-ART-02-2022-000078. 32 pp. Pre-print available from Earth and Space Science Open Archive. https://"
10.1002/lno.11982,"Salk KR, Venkiteswaran JJ, Couture R-M, Higgins SN, Paterson MJ, Schiff SL. 2022. Warming combined with experimental eutrophication intensifies lake phytoplankton blooms. Limnology & Oceanography 67(1): 147-158, "
10.1097/SLA.0000000000001135,"Spence, DS; Reed, MG; Baulch, HM. (2022). Leverage points to remedy cultural eutrophication. Limnology and Oceanography Letters. Submitted. "
10.1038/s41396-020-0725-0,"Tsuji, J.M., N. Tran, S.L. Schiff, J.J. Venkiteswaran, L.A. Molot and J.D. Neufeld. 2020. Genomic potential for photoferrotrophy in a seasonally anoxic Boreal Shield lake. The ISME Journal, "
10.1016/j.gca.2022.02.016,"Kang, M., Brennan, S., Fernandez, D.P., Yang, Z., Girard, I., Gammon, P., de Laplante, G., Skierszkan, E.K., Bataille, C.P. (2022). Controls on lithium isotope spatial variability across the Yukon River: Implications for weathering processes in a warming basin. Geochim. Cosmochim. Acta 343, 1-19. https://"
10.1021/acsearthspacechem.1c00307,"Skierszkan, E.K., Dockrey, J.W., Helsen, J., Findlater, L.-L., Bataille, C.P., de Laplante, G., McBeth, J.M., Mayer, K.U., Beckie, R.D. (2021) Persistence of subpermafrost groundwater uranium indicated by linking 234U-235U-238U, groundwater ages, and hydrogeochemistry. Earth & Space Chem. 5(12), 3474- 3487. https://"
10.1103/PhysRevFluids.7.023501,"Grace, A. P., Stastna, M., Lamb, K. G., and Scott, A.: Numerical simulations of the three-dimensionalization of a shear flow in radiatively forced cold water below the density maximum, Physical Review Fluids, 7, "
10.3390/SU13042415,"Johnston, C. and Spring, A. (2021). Grassroots and Global Governance: Can global-local linkages foster food system resilience for small northern Canadian communities? Sustainability. 13 (4), 2415. "
10.3389/fsufs.2021.661538,"Lemay, M. A., Radcliffe, J. B., Bysouth, D., and Spring, A. (2021). Northern Food Systems in Transition: The role of the emerging agri-food industry in the Northwest Territories (Canada) Food System. Frontiers in Sustainable Food Systems, 372. "
