title,author,abstract,url,pages,doi,bibkey
Assessment of Different Water Use Efficiency Calculations for Dominant Forage Crops in the Great Lakes Basin,"Kevin De Haan, Myroslava Khomik, Adam Green, Warren Helgason, Merrin L. Macrae, Mazda Kompanizare, Richard M. Petrone, ","Water use efficiency (WUE) can be calculated using a range of methods differing in carbon uptake and water use variable selection. Consequently, inconsistencies arise between WUE calculations due to complex physical and physiological interactions. The purpose of this study was to quantify and compare WUE estimates (harvest or flux-based) for alfalfa (C3 plant) and maize (C4 plant) and determine effects of input variables, plant physiology and farming practices on estimates. Four WUE calculations were investigated: two “harvest-based” methods, using above ground carbon content and either precipitation or evapotranspiration (ET), and two “flux-based” methods, using gross primary productivity (GPP) and either ET or transpiration. WUE estimates differed based on method used at both half-hourly and seasonal scales. Input variables used in calculations affected WUE estimates, and plant physiology led to different responses in carbon assimilation and water use variables. WUE estimates were also impacted by different plant physiological responses and processing methods, even when the same carbon assimilation and water use variables were considered. This study highlights a need to develop a metric of measuring cropland carbon-water coupling that accounts for all water use components, plant carbon responses, and biomass production.",G21-1001,739,10.3390/agriculture11080739,De Haan-2021-Assessment
Temporal variability in water and nutrient movement through vertisols into agricultural tile drains in the northern Great Plains,"V. Kokulan, M.L. Macrae, G.A. Ali, D.A. Lobb, M. Morison, B.C. Brooks, ","Agricultural tile drainage is expanding in the northern Great Plains of North America. Given ongoing environmental and political concerns related to the eutrophication of Lake Winnipeg in Canada and the potential for tile drains to transport significant quantities of nutrients from agricultural fields, an improved understanding of nutrient dynamics in tile drains in this region is needed. This study characterized seasonal patterns in tile flow and chemistry under variable hydroclimatic conditions and related this variance to temporal variability in soil hydraulic properties in a farm in southern Manitoba, Canada, from 2015 to 2017. Tile flow, soil hydraulic properties, and groundwater table position all varied seasonally, as did the chemistry of tile drain effluent. The majority of annual tile discharge, which occurred in late spring, appears to have been contributed by shallow groundwater, primarily through soil matrix pathways. At these greater tile flow rates, concentrations of soluble reactive phosphorus (SRP) and total phosphorus (TP) were low (&lt;0.03 mg L<sup>–1</sup> SRP, &lt;0.04 mg L<sup>–1</sup> TP), but concentrations of nitrate (NO<sub>3</sub>-N) were high (20 to 25 mg L<sup>–1</sup> NO<sub>3</sub>-N). In contrast, tile flows outside of this peak period appeared to be primarily attributed to preferential flow pathways through frozen (snowmelt) and dry soil cracks (summer). Phosphorus (P) concentrations were greater during snowmelt and summer (~0.05 mg L<sup>–1</sup> SRP, ~0.1 mg L<sup>–1</sup> TP) but did not produce significant nutrient loads due to the minimal tile discharge rates (&lt;1 mm d<sup>–1</sup>). This work suggests that the expansion of tile drainage may not exacerbate water quality issues involving P in the northern Great Plains but may increase nitrogen (N) loads in local water bodies.",G21-2001,00099,10.2489/jswc.2021.00099,Kokulan-2021-Temporal
Phosphorus runoff from Canadian agricultural land: A dataset for 30 experimental fields,"Jian Liu, Jane A. Elliott, Henry F. Wilson, Merrin L. Macrae, Helen M. Baulch, David A. Lobb, ","Phosphorus (P) runoff from agricultural land plays a critical role in downstream water quality. This article summarizes P and sediment runoff data for both snowmelt and rainfall runoff from 30 arable fields in the Canadian provinces of Saskatchewan, Manitoba and Ontario. The data were collected from 216 site-years of field experiments, with climates ranging from semi-arid to humid and a wide range of field management practices. In the article, mean annual and seasonal (in terms of snowmelt and rain) precipitation inputs, runoff depths, and P and sediment concentrations and loads are presented, along with ranges of yearly values. In addition, information of field management and soil characteristics (e.g. soil type and soil Olsen P) is also presented for each field. The data have potential to be reused for national and international cross-region comparisons of P and sediment losses, constructing and validating decision-support models and tools for assessing and managing P losses in both snowmelt and rainfall runoff, and informing beneficial management practices to improve agricultural water quality. Interpretation of the data is found in “Phosphorus runoff from Canadian agricultural land: A cross-region synthesis of edge-of-field results” [1] .",G21-3001,107405,10.1016/j.dib.2021.107405,Liu-2021-Phosphorus
Phosphorus runoff from Canadian agricultural land: A cross-region synthesis of edge-of-field results,"Jian Liu, Jane A. Elliott, Henry F. Wilson, Merrin L. Macrae, Helen M. Baulch, David A. Lobb, ","Algal blooms fueled by phosphorus (P) enrichment are threatening surface water quality around the world. Although P loss from arable land is a critical contributor to P loads in many agricultural watersheds , there has been a lack of understanding of P loss patterns and drivers across regions. Here, we synthesized edge-of-field P and sediment runoff data for 30 arable fields in the Canadian provinces of Saskatchewan, Manitoba and Ontario (a total of 216 site-years) to elucidate spatial and temporal differences in runoff and P mobilization in snowmelt and rainfall runoff, and discuss climatic, soil and management drivers for these patterns. Across all regions, precipitation inputs were positively correlated with runoff amounts and consequently P loads. Runoff and P losses were dominated by snowmelt across all sites, however, regional differences in runoff amounts, and P concentrations, loads and speciation were apparent. Proportions of total P in the dissolved form were greater in the prairie region (55–94% in Manitoba) than in the Great Lakes region (26–35% in Ontario). In Manitoba, dissolved P concentrations in both snowmelt and rainfall runoff were strongly positively correlated to soil Olsen P concentrations in the 0–5 cm soil depth; however, this relationship was not found for Ontario fields, where tile drainage dominated hydrologic losses. Although precipitation amounts and runoff volumes were greater in Ontario than Manitoba, some of the greatest P loads were observed from Manitoba fields, driven by management practices. This synthesis highlights the differences across the Canadian agricultural regions in P runoff patterns and drivers, and suggests the need of co-ordinated and standardized monitoring programs to better understand regional differences and inform management. Phosphorus runoff patterns vary with climatic regions across Canada. †The dissolved P was measured as total dissolved P in MB and dissolved reactive P in SK and ON. ‡Total P was not measured in SK. • Phosphorus runoff patterns and drivers vary with climatic regions across Canada. • Co-ordinated and standardized monitoring programs are key to clarify regional differences. • Snowmelt dominates runoff volume and phosphorus loss across Canada. • The predominant form of P in runoff differs between the Prairie region and the Great Lakes region. • Reducing phosphorus sources is important for mitigating phosphorus runoff.",G21-4001,107030,10.1016/j.agwat.2021.107030,Liu-Elliott-2021-Phosphorus-runoff
One size does not fit all: Toward regional conservation practice guidance to reduce phosphorus loss risk in the Lake Erie watershed,"Merrin Macrae, Helen Jarvie, Roy Brouwer, Grant Gunn, Keith Reid, Pam Joosse, Kevin King, Peter Kleinman, Doug Smith, Mark Williams, Martha Zwonitzer, ","Agricultural phosphorus (P) losses to surface water bodies remain a global eutrophication concern, despite the application of conservation practices on farm fields. Although it is generally agreed upon that the use of multiple conservation practices (“stacking”) will lead to greater improvements to water quality, this may not be cost effective to farmers, reducing the likelihood of adoption. At present, wholesale recommendations of conservation practices are given; however, the application of specific conservation practices in certain environments (e.g., no-till with surface application, cover crops) may not be effective and can even lead to unintended consequences. In this paper, we present the Lake Erie watershed as a case study. The Lake Erie watershed contains regions with unique physical geographies that include differences in climate, soil, topography, and land use, which have implications for both P transport from agricultural fields and the efficacy of conservation practices in mitigating P losses. We define major regions within the Lake Erie watershed where common strategies for conservation practice implementation are appropriate, and we propose a five-step plan for bringing regionally tailored, adaptive, and cost-conscious conservation practice into watershed planning. Although this paper is specific to the Lake Erie watershed, our framework can be transferred across broader geographic regions to provide guidance for watershed planning.",G21-5001,529-546,10.1002/jeq2.20218,Macrae-2021-One
Contribution of bunker silo effluent discharged via a riparian zone to watershed phosphorus loads,"Dylan W. Price, Janina M. Plach, Helen P. Jarvie, Merrin L. Macrae, ","Nutrient losses from agricultural operations are a major contributor to the eutrophication of freshwaters. Although many studies have quantified diffuse nutrient losses, less is known about agricultural point-source contributions, such as bunker silos, to watershed phosphorus (P) loads. This study examined the contributions of a dairy farm bunker silo effluent to watershed soluble reactive P (SRP) and total P (TP) losses. The bunker silo effluent discharged to an adjacent stream via a riparian soakaway for ca. 15 years. Prior to the annual refilling of the bunker silo, flow weighted mean concentrations of SRP (TP) were similar between stream locations up and downstream of the farm. After the bunker silo was refilled, flow-weighted SRP (TP) concentrations in the stream increased by factors of 1.5(2.2) during events and 3.1(2.3) during baseflow. Higher P concentrations occurred in the riparian soils receiving bunker silo effluent (525–3125 mg/kg TP, and 0.1–9.9 mg/kg water extractable P (WEP), compared with 525–939 mg/kg TP, and 0.11–1.43 mg/kg WEP on the opposite side of the stream with no bunker silo effluent. Riparian soils impacted by the bunker silo were near P-saturation, and the riparian zone did little to reduce P transfer in shallow groundwater. The net contributions of bunker silo effluent to annual watershed P losses were 32% (SRP) and 22% (TP). This study highlights the importance of agricultural point sources, and the need to quantify their contributions to watershed P budgets to target P remediation effectively.",G21-6001,1296-1304,10.1016/j.jglr.2021.08.004,Price-2021-Contribution
"Modelled changes in selected agroclimatic indices over the croplands of western
            <scp>Canada</scp>
            under the RCP8.5 scenario","Richard Y. K. Agyeman, Fei Huo, Zhenhua Li, Yanping Li, ",,G21-7001,4454-4467,10.1002/qj.4188,Agyeman-2021-Modelled
"Ecohydrological trade-offs from multiple peatland disturbances: The interactive effects of drainage, harvesting, restoration and wildfire in a southern Ontario bog","C.P.R. McCarter, S.L. Wilkinson, P.A. Moore, J.M. Waddington, ","• Greater restored moss cover decreased peat burn severity. • Deep vs shallow harvesting depth drove divergent post-fire soil water conditions. • Shallow harvest increased suitable conditions for Sphagnum establishment. • Deep harvest lowers the risk of subsequent peat ignition. • Deep harvest likely to promote longer-term carbon sequestration due to fewer fires. Peatland disturbances can disrupt the ecohydrological functions that sustain net carbon sequestration in peatlands. Anthropogenic disturbances, such as peatland drainage and harvesting, are often followed by peatland restoration that aims to return the carbon sink function. This is typically achieved by raising the water table and re-establishing keystone Sphagnum moss species. However, with an increasingly uncertain climate and intensifying land-use changes, the potential for multiple disturbances (such as co-occurring wildfires, drainage, and harvesting) to disrupt the ecohydrological feedbacks that support peatland function is increasing. Yet, few studies investigate the ecohydrological trade-offs induced by multiple disturbances in peatlands. To elucidate the complexities of multiple disturbances and restoration on Sphagnum re-establishment and wildfire potential, we studied a Deep and Shallow harvested area in a drained and restored peatland in southern Ontario, Canada that experienced a wildfire in 2012. Harvesting depth did not significantly increase the bulk density of the upper 32 cm of exposed peat, but the shallower harvest depth did significantly increase the depth of burn (DOB) due to the more varied remnant topography. The difference in topography of the shallower harvested area increased peat carbon losses (16.5 kg C m −2 ) from the wildfire relative to the deeper harvest area (15.1 kg C m −2 ). The difference in post-fire peat hydrophysical properties of the Deep and Shallow harvest area drove divergent soil water conditions. In the post-burn peat, the establishment of suitable conditions for the regeneration of Sphagnum mosses was more prevalent at the Shallow harvest areas but the higher soil water retention capabilities of the Deep harvest peat lowered the risk of subsequent peat ignition. This study highlights the complex interactions multiple disturbances have on peatland ecohydrology and that we urgently need to understand these interactions to better manage our shared peatland resources in an increasingly uncertain future.",G21-8001,126793,10.1016/j.jhydrol.2021.126793,McCarter-2021-Ecohydrological
Sensitivity analysis of hydrological processes to perturbed climate in a southern boreal forest basin,"Zhihua He, John W. Pomeroy, Xing Fang, Amber Peterson, ","• The CRHM-created Boreal Hydrology Model performed quite well on simultaneously simulating runoff, snow water equivalent, soil liquid water content and evapotranspiration (ET) with minor parameter calibration. • The basin hydrological variables showed quite different sensitivities to perturbations of precipitation (P) and temperature (T). Annual runoff was more sensitive to rising P than warming T, but annual ET was more sensitive to warming T. • Perturbed P and T had distinctively different influences on the streamflow regime. Increased P enhanced the intra- and inter-annual variabilities of basin runoff, whilst rising T resulted in the inverse changes. • Effects of warming on annual runoff and snow processes could be compensated for to varying degrees by the effects of increases in P. Hydrological processes over and through frozen and unfrozen ground were simulated in the well instrumented boreal forest basin of White Gull Creek, Saskatchewan, Canada using a model created using the flexible Cold Regions Hydrological Modelling (CRHM) platform. The CRHM-created Boreal Hydrology Model was structured and initially parameterized using decades of process hydrology research in the southern boreal forest with minor parameter calibration, and generally produced quite good performance on simultaneously reproducing the measurements of runoff, snow water equivalent (SWE), soil liquid water content and eddy correlation flux tower observations of evapotranspiration (ET) over two decades. To examine the sensitivity of basin hydrology to perturbed climate inputs, air temperature (T) inputs were set up by linear increments in the reference observation of up to +6 ℃, and precipitation (P) inputs were generated by multiplying the reference observed P from 70% to 130%. The model results showed that the basin hydrological variables showed quite different sensitivities to perturbations of P and T. The volume of annual runoff and the annual runoff coefficient increased more rapidly with rising P, at rates of 31% and 16% per 10% increase in P, but decreased by only 3.8% and 4.7% per 1 ℃ of warming. Annual ET increased rapidly with temperature, by 7% per 1 ℃ of warming and therefore drove the streamflow volumetric changes with warming, but increased only 1% per 10% increase in P. Perturbations of P and T had distinctively different influences on the streamflow regime. Increased P enhanced the intra- and inter-annual variabilities of basin runoff, reduced the relative contribution of winter runoff to annual runoff and increased the relative contribution of summer runoff; whilst rising T resulted in the inverse changes in the streamflow regime. Effects of warming on some hydrological processes could be compensated for to varying degrees by the effects of increases in P. Reductions in the annual runoff volume and runoff coefficient caused by warming up to 6 ℃ could be compensated for by increases of <20% in P. However, the maximum increase in P (+30%) examined could only compensate for the changes in snow processes caused by warming of less than 4 ℃ and snow-cover duration decreases with 1 ℃ warming could not be compensated for by any precipitation increase considered. These results inform the vulnerability of boreal forest hydrology to the first-order changes in P and T and provide guidance for further climate impact assessments for hydrology in the southern boreal forest in Canada.",G21-8002,126706,10.1016/j.jhydrol.2021.126706,He-2021-Sensitivity
Scientists' warning on extreme wildfire risks to water supply,"François‐Nicolas Robinne, Dennis W. Hallema, Kevin D. Bladon, Mike D. Flannigan, Gabrielle Boisramé, Christian M. Bréthaut, Stefan H. Doerr, Giuliano Di Baldassarre, Louise A. Gallagher, Amanda K. Hohner, Stuart J. Khan, Alicia M. Kinoshita, Rua Mordecai, João Pedro Nunes, Petter Nyman, Cristina Santín, Gary Sheridan, Cathelijne R. Stoof, Matthew P. Thompson, James M. Waddington, Yu Wei, ","2020 is the year of wildfire records. California experienced its three largest fires early in its fire season. The Pantanal, the largest wetland on the planet, burned over 20% of its surface. More than 18 million hectares of forest and bushland burned during the 2019–2020 fire season in Australia, killing 33 people, destroying nearly 2500 homes, and endangering many endemic species. The direct cost of damages is being counted in dozens of billion dollars, but the indirect costs on water-related ecosystem services and benefits could be equally expensive, with impacts lasting for decades. In Australia, the extreme precipitation (“200 mm day −1 in several location”) that interrupted the catastrophic wildfire season triggered a series of watershed effects from headwaters to areas downstream. The increased runoff and erosion from burned areas disrupted water supplies in several locations. These post-fire watershed hazards via source water contamination, flash floods, and mudslides can represent substantial, systemic long-term risks to drinking water production, aquatic life, and socio-economic activity. Scenarios similar to the recent event in Australia are now predicted to unfold in the Western USA. This is a new reality that societies will have to live with as uncharted fire activity, water crises, and widespread human footprint collide all-around of the world. Therefore, we advocate for a more proactive approach to wildfire-watershed risk governance in an effort to advance and protect water security. We also argue that there is no easy solution to reducing this risk and that investments in both green (i.e., natural) and grey (i.e., built) infrastructure will be necessary. Further, we propose strategies to combine modern data analytics with existing tools for use by water and land managers worldwide to leverage several decades worth of data and knowledge on post-fire hydrology.",G21-9001,,10.1002/hyp.14086,Robinne-2021-Scientists'
