title,author,abstract,url,pages,doi,bibkey
Conventional Oil—The Forgotten Part of the Water‐Energy Nexus,"Jennifer C. McIntosh, Grant Ferguson, ","The impacts of unconventional oil and gas production via high-volume hydraulic fracturing (HVHF) on water resources, such as water use, groundwater and surface water contamination, and disposal of produced waters, have received a great deal of attention over the past decade. Conventional oil and gas production (e.g., enhanced oil recovery [EOR]), which has been occurring for more than a century in some areas of North America, shares the same environmental concerns, but has received comparatively little attention. Here, we compare the amount of produced water versus saltwater disposal (SWD) and injection for EOR in several prolific hydrocarbon producing regions in the United States and Canada. The total volume of saline and fresh to brackish water injected into depleted oil fields and nonproductive formations is greater than the total volume of produced waters in most regions. The addition of fresh to brackish ""makeup"" water for EOR may account for the net gain of subsurface water. The total amount of water injected and produced for conventional oil and gas production is greater than that associated with HVHF and unconventional oil and gas production by well over a factor of 10. Reservoir pressure increases from EOR and SWD wells are low compared to injection of fluids for HVHF, however, the longer duration of injections could allow for greater solute transport distances and potential for contamination. Attention should be refocused from the subsurface environmental impacts of HVHF to the oil and gas industry as a whole.",G19-1001,669-677,10.1111/gwat.12917,McIntosh-2019-Conventional
Incorporating social dimensions in hydrological and water quality modeling to evaluate the effectiveness of agricultural beneficial management practices in a Prairie River Basin,"Lori Bradford, Anuja Thapa, Ashleigh Duffy, Elmira Hassanzadeh, Graham Strickert, Bram Noble, Karl-Erich Lindenschmidt, ",,G19-2001,14271-14287,10.1007/s11356-019-06325-1,Bradford-2019-Incorporating
"Risk Perception and Human Health Risk in Rural Communities Consuming Unregulated Well Water in Saskatchewan, Canada","Lorelei Ford, Cheryl Waldner, Javier Sanchez, Lalita Bharadwaj, ","Rural communities dependent on unregulated drinking water are potentially at increased health risk from exposure to contaminants. Perception of drinking water safety influences water consumption, exposure, and health risk. A community-based participatory approach and probabilistic Bayesian methods were applied to integrate risk perception in a holistic human health risk assessment. Tap water arsenic concentrations and risk perception data were collected from two Saskatchewan communities. Drinking water health standards were exceeded in 67% (51/76) of households in Rural Municipality #184 (RM184) and 56% (25/45) in Beardy's and Okemasis First Nation (BOFN). There was no association between the presence of a health exceedance and risk perception. Households in RM184 or with an annual income >$50,000 were most likely to have in-house water treatment. The probability of consuming tap water perceived as safe (92%) or not safe (0%) suggested that households in RM184 were unlikely to drink water perceived as not safe. The probability of drinking tap water perceived as safe (77%) or as not safe (11%) suggested households in BOFN contradicted their perception and consumed water perceived as unsafe. Integration of risk perception lowered the adult incremental lifetime cancer risk by 3% to 1.3 × 10-5 (95% CI 8.4 × 10-8 to 9.0 × 10-5 ) for RM184 and by 8.9 × 10-6 (95% CI 2.2 × 10-7 to 5.9 × 10-5 ) for BOFN. Probability of exposure to arsenic concentrations >1:100,000, negligible cancer risk, was 23% for RM184 and 22% for BOFN.",G19-3001,2559-2575,10.1111/risa.13335,Ford-2019-Risk
"“Spirit, Safety, and a Stand-off ”: The Research-Creation Process and Its Roles in Relationality and Reconciliation among Researcher and Indigenous Co-Learners in Saskatchewan, Canada","Myron Neapetung, Lori Bradford, Lalita Bharadwaj, ","Provision of safe water on reserves is an ongoing problem in Canada that can be addressed by mobilizing water knowledge across diverse platforms to a variety of audiences. A participatory artistic animation video on the lived experiences of Elderswith water in Yellow Quill First Nation, Treaty Four territory, was created to mobilize knowledge beyond conventional peer-review channels. Research findings from interviews with 22 Elders were translated through a collaborative process into a video with a storytelling format that harmonized narratives, visual arts, music, and meaningful symbols. Three themes emerged which centered on the spirituality of water, the survival need for water, and standoffs in water management. The translation process, engagement and video output were evaluated using an autoethnographic approach with two members of the research team. We demonstrate how the collaborative research process and co-created video enhance community-based participatory knowledge translation and sharing. We also express how the video augments First Nations community ownership, control, access and possession (OCAP) of research information that aligns with their storytelling traditions and does so in a youth-friendly, e-compatible form. Through the evaluative process we share lessons learned about the value and effectiveness of the video as a tool for fostering partnerships, and reconciliation. The benefits and positive impacts of the video for the Yellow Quill community and for community members are discussed.",G19-4001,37-60,10.15402/esj.v5i2.68334,"Neapetung-2019-“Spirit,"
Reclaiming Indigenous Planning as a Pathway to Local Water Security,"Robert J. Patrick, Kellie Grant, Lalita Bharadwaj, ","Access to drinkable water is essential to human life. The consequence of unsafe drinking water can be damaging to communities and catastrophic to human health. Today, one in five First Nation communities in Canada is on a boil water advisory, with some advisories lasting over 10 years. Factors contributing to this problem stretch back to colonial structures and institutional arrangement that reproduce woefully inadequate community drinking water systems. Notwithstanding these challenges, First Nation communities remain diligent, adaptive, and innovative in their efforts to provide drinkable water to their community members. One example is through the practice of source water protection planning. Source water is untreated water from groundwater or surface water that supplies drinking water for human consumption. Source water protection is operationalized through land and water planning activities aimed at reducing the risk of contamination from entering a public drinking water supply. Here, we introduce a source water protection planning process at Muskowekwan First Nation, Treaty 4, Saskatchewan. The planning process followed a community-based participatory approach guided by trust, respect, and reciprocity between community members and university researchers. Community members identified threats to the drinking water source followed by restorative land management actions to reduce those threats. The result of this process produced much more than a planning document but engaged multiple community members in a process of empowerment and self-determination. The process of plan-making produced many unintended results including human–land connectivity, reconnection with the water spirit, as well as the reclaiming of indigenous planning. Source water protection planning may not correct all the current water system inadequacies that exist on many First Nations, but it will empower communities to take action to protect their drinking water sources for future generations as a pathway to local water security.",G19-5001,936,10.3390/w11050936,Patrick-2019-Reclaiming
"“Garbage in, Garbage Out” Does Not Hold True for Indigenous Community Flood Extent Modeling in the Prairie Pothole Region","Anuja Thapa, Lori Bradford, Graham Strickert, Xiaolei Yu, Anthony Johnston, Kelsey Watson-Daniels, ","Extensive land use changes and uncertainties arising from climate change in recent years have contributed to increased flood magnitudes in the Canadian Prairies and threatened the vulnerabilities of many small and indigenous communities. There is, thus, a need to create modernized flood risk management tools to support small and rural communities’ preparations for future extreme events. In this study, we developed spatial flood information for an indigenous community in Central Saskatchewan using LiDAR based DEM and a spatial modeling tool, the wetland DEM ponding model (WDPM). A crucial element of flood mapping in this study was community engagement in data collection, scenario description for WDPM, and flood map validation. Community feedback was also used to evaluate the utility of the modelled flood outputs. The results showed the accuracy of WDPM outputs could be improved not only with the quality of DEM but also with additional community-held information on contributing areas (watershed information). Based on community feedback, this accessible, spatially-focused modeling approach can provide relevant information for community spatial planning and developing risk management strategies. Our study found community engagement to be valuable in flood modeling and mapping by: providing necessary data, validating input data through lived experiences, and providing alternate scenarios to be used in future work. This research demonstrates the suitability and utility of LiDAR and WDPM complemented by community participation for improving flood mapping in the Prairie Pothole Region (PPR). The approach used in the study also serves as an important guide for applying transdisciplinary tools and methods for establishing good practice in research and helping build resilient communities in the Prairies.",G19-6001,2486,10.3390/w11122486,Thapa-2019-“Garbage
Alpine Hydrogeology: The Critical Role of Groundwater in Sourcing the Headwaters of the World,"Masaki Hayashi, ","Groundwater discharge in alpine headwaters sustains baseflow in rivers originating in mountain ranges of the world, which is critically important for aquatic habitats, run-of-river hydropower generation, and downstream water supply. Groundwater storage in alpine watersheds was long considered negligible, but recent field-based studies have shown that aquifers are ubiquitous in the alpine zone with no soil and vegetation. Talus, moraine, and rock glacier aquifers are common in many alpine regions of the world, although bedrock aquifers occur in some geological settings. Alpine aquifers consisting of coarse sediments have a fast recession of discharge after the recharge season (e.g., snowmelt) or rainfall events, followed by a slow recession that sustains discharge over a long period. The two-phase recession is likely controlled by the internal structure of the aquifers. Spatial extent and distribution of individual aquifers determine the groundwater storage-discharge characteristics in first- and second-order watersheds in the alpine zone, which in turn govern baseflow characteristics in major rivers. Similar alpine landforms appear to have similar hydrogeological characteristics in many mountain ranges across the world, suggesting that a common conceptual framework can be used to understand alpine aquifers based on geological and geomorphological settings. Such a framework will be useful for parameterizing storage-discharge characteristics in large river hydrological models.",G19-7001,498-510,10.1111/gwat.12965,Hayashi-2019-Alpine
Biomic river restoration: A new focus for river management,"Matthew F. Johnson, Colin R. Thorne, Janine M. Castro, G. Mathias Kondolf, Celeste Searles Mazzacano, Stewart B. Rood, Cherie Westbrook, ",,G19-8001,3-12,10.1002/rra.3529,Johnson-2019-Biomic
"Spatially-distributed tracer-aided runoff modelling and dynamics of
storage and water ages in a permafrost-influenced catchment","Thea I. Piovano, Doerthe Tetzlaff, Sean K. Carey, Nadine J. Shatilla, Aaron Smith, Chris Soulsby, ","Abstract. Permafrost strongly controls hydrological processes in cold regions, and our understanding of how changes in seasonal and perennial frozen ground disposition and linked storage dynamics affects runoff generation processes remains limited. Storage dynamics and water redistribution are influenced by the seasonal variability and spatial heterogeneity of frozen ground, snow accumulation and melt. Stable isotopes provide a potentially useful technique to quantify the dynamics of water sources, flow paths and ages; yet few studies have employed isotope data in permafrost-influenced catchments. Here, we applied the conceptual model STARR (Spatially distributed Tracer-Aided Rainfall-Runoff model), which facilitates fully distributed simulations of hydrological storage dynamics and runoff processes, isotopic composition and water ages. We adapted this model to a subarctic catchment in Yukon Territory, Canada, with a time-variable implementation of field capacity to include the influence of thaw dynamics. A multi-criteria calibration based on stream flow, snow water equivalent and isotopes was applied to three years of data. The integration of isotope data in the spatially distributed model provided the basis to quantify spatio-temporal dynamics of water storage and ages, emphasizing the importance of thaw layer dynamics in mixing and damping the melt signal. By using the model conceptualisation of spatially and temporally variant storage, this study demonstrates the ability of tracer-aided modelling to capture thaw layer dynamics that cause mixing and damping of the isotopic melt signal.",G19-9001,,10.5194/hess-2019-59,Piovano-2019-Spatially-distributed
Wildland fire impacts on water yield across the contiguous United States,"Dennis Hallema, Ge Sun, Peter Caldwell, Francois-Nicolas Robinne, Kevin D. Bladon, Steve Norman, Yongqiang Liu, Erika C. Cohen, Steve McNulty, ",,G19-9002,,10.2737/srs-gtr-238,Hallema-2019-Wildland
